row_idx,poem_title,poet_name,poem_text_snippet,gold_label,pred_text,pred_label,correct
170544,شِعْرستان,محمود السيد الدغيم,"إِنَّ الْمَحَبَّةَ فِي الْفُؤَاْدِ سِنَاْنُ
وَمَكِيْدَةٌ سَقَطَتْ بِهَا التِّيْجَاْنُ
وَمَرَاْبِعُ الْحُبِّ الْعَفِيْفِ لَطِيْفَةٌ",,"قصيدة رومنسيه.

المقطع:
أَلاَ",قصيدة رومنسيه,0
139141,,محبوب الخوري الشرتوني,"بلد الملائك أنتِ أطهر بقعةٍ
من لا يحبّك فهو عين الكافرِ
مـن عـاش من لبنانَ فيكِ فإنه",,"قصيدة مدح.

المقطع:
أنتِ أطهر",قصيدة مدح,0
229642,المسافات التي تركناها,السيد عبد الله سالم,"المسافاتُ التي كتبناها
في كرَّاسةِ العشقِ
وميَّزْناها رجومًا للشياطينِ",,"قصيدة رومنسيه.

المقطع:
أنتِ التي",قصيدة رومنسيه,0
197221,الوفاء,صالحة الغامدي,"انا ليا شفت الوفا اتبع خطاه
ماني اللي الغذر فيهم طييعه
وشعري ترى جسد كلامي بمعناه",,"قصيدة غزل.

المقطع:
يا حبيبي يا ح",قصيدة غزل,0
12281,أماوِي هل لي عندكم مِن معرس,امرؤ القيس,"أَماوِيَّ هَل لي عِندَكُم مِن مُعَرَّسٍ
أَمِ الصَرمَ تَختارينَ بِالوَصلِ نَيأَسِ
أَبيني لَنا أَنَّ الصَريمَةَ راحَةٌ",,"قصيدة عتاب.

المقطع:
أَلاَ تَ",قصيدة عتاب,0
164142,أنتِ القلبُ يا عَدَنُ,يحيى الحمادي,"في القلبِ تَمتَدُّ _صَفًّا_ كُلُّها المُدُنُ
إِلَّاكِ إِلَّاكِ.. أنتِ القلبُ يا عَدَنُ
إِلَّاكِ يا مَن هَرِمْنا وهْيَ بَعْدُ على",,"قصيدة رومنسيه.

المقطع:
أَلاَ",قصيدة رومنسيه,0
54759,رأيت بخاله في صحن خده,ابن خفاجه,"رَأَيتُ بِخالِهِ في صَحنِ خَدِّهِ
فُؤادَ مُحِبِّهِ في نارِ صَدِّهِ
فَخِفتُ وَقَصرُ نَفسي لَكُم فيهِ",قصيدة عامه,"قصيدة رومنسيه.

المقطع:
أَتَ",قصيدة رومنسيه,0
161105,إيفاء مدحك منتهى ما نطلب,جرجي شاهين عطية,"إيفاء مدحك منتهى ما نطلب
فلئن نضق ذرعاً فعفوك أرحبُ
ولئن عجزنا عن ثنائك فهو لا",,"قصيدة مدح.

المقطع:
ألا يا ليل هل",قصيدة مدح,0
59228,شاعركم في حانة مرهون,شاعر الحمراء,"شَاعرُكم في حَانةٍ مَرهونُ
وَلَيس يَدري بَعدُ مَا يَكُونُ",قصيدة قصيره,"قصيدة حزينه.

المقطع:
أَتَذ",قصيدة حزينه,0
127694,,إسحاق بن خلف البهراني,"إني لأرجو أنْ يكونَ صَداقها  
 مـن جـنّة الفردوس ما يرضيكا
لا تـيـأسنَّ لها فقد زوَّجتها  ",,"قصيدة غزل.

المقطع:
ألا يا صاحبي",قصيدة غزل,0
54239,رأت أقوامها اغتصبت بلادي,الشاذلي خزنه دار,"رأت أقوامها اغتصبت بلادي
فنازعت الحجى وغزت فؤادي
تقاتلني النواعس عن فتور",قصيدة وطنيه,"قصيدة حزينه.

المقطع:
أنتِ التي أ",قصيدة حزينه,0
159012,,المهذب ابن الزبير الغساني,"وخــاصَــمــنــي بــدرُ السَّمــا فَــخَــصَــمــتُهُ
بــقــولَي فــاســمـع مـا الذي أنـا قـائلُ
أتى في انتصافِ الشهر يحكيك في البَهَا",,"قصيدة غزل.

المقطع:
ألا يا ليلَ",قصيدة غزل,0
196066, الموتُ عشقا,عاطف الجندى,"ً
أحب الجمالَ
وإن لم أنلهُ",,"قصيدة غزل.

المقطع:
أحب الجمالَ",قصيدة غزل,0
13538,قل للمهندس أترك برجل العذل,مصطفى بن زكري,"قل للمهندس أترك بَرجل العَذَلِ
أطلت بحثك في قول بلا عمل
أما ترى مستقيم الجسم منحنياً",قصيدة قصيره,"قصيدة ذم.

المقطع:
أنتِ التي تسب",قصيدة ذم,0
12662,كل امرئ بأثافي الدهر مرجوم,الخنساء,"وقكُلُّ اِمرِئٍ بِأَثافي الدَهرِ مَرجومُ
وَكُلُّ بَيتٍ طَويلِ السَمكِ مَهدومُ
لا سوقَةٌ مِنهُمُ يَبقى وَلا مَلِكٌ",قصيدة عامه,"قصيدة حزينه.

المقطع:
وَأَح",قصيدة حزينه,0
119172,,القصافي,"في دمعهِ الجاري وإعوالهِ
ما يُخْبِرُ السائلَ عنْ حالهِ
رحـلْتُ عِـيـسـاً كـلهـا عامِلٌ",,"قصيدة رثاء.

المقطع:
ألا يا ليل",قصيدة رثاء,0
60544,ومكاشح لولاك أصبح جانحا,إبراهيم بن هرمة,"وَمُكاشِحٍ لَولاكَ أَصبَحَ جانِحاً
لِلسِّلمِ يَرقى حَيَّتي وَضِبابي",قصيدة قصيره,"قصيدة شوق.

المقطع:
وَأَحْ",قصيدة شوق,0
60445,تتوق بعيني فارك مستطارة,إبراهيم بن هرمة,"تَتوق بِعَيني فارك مستطارة
رأَت بعلَها غيري فَقامَت تمارِطُه",قصيدة قصيره,"قصيدة غزل.

المقطع:
أَتَذَ",قصيدة غزل,0
198718,عُجْ بِالمَطِيِّ فَهـذا السَّفْحُ وَالعَلَمُ,موسى بن حسين الحسيني الكيذاوي,"عُجْ بِالمَطِيِّ فَهـذا السَّفْحُ وَالعَلَمُ
وَهـذِهِ كِلَـلُ الأَحْبابِ وَالخِيَـمُ
وَهـذِهِ دِمَـنُ الحَيِّ النُّزُولِ بِها",,"قصيدة شوق.

المقطع:
أَلاَ لِل",قصيدة شوق,0
112854,,علية بنت المهدي,"جـاءَنـي عاذِلي بِوَجهٍ مُشيحِ
لامَ في حُبِّ ذاتِ وَجهٍ مَليحِ
قُلتُ وَاللَهِ لاَأَطعتُكَ فيما",,"قصيدة عتاب.

المقطع:
أَلاَ لِل",قصيدة عتاب,0
207056,ولا إلّا  بِنا,إبراهيم مصطفى الحمد,"لكم في القلبِ أمّاتُ الأغاني
وهل يولَدْنَ إلّا في دِناني
ليُسْكِرْنَ المَدى حُبًّا وشوقاً",,قصيدة رومنسيه، قصيدة شوق، قصيدة غزل,قصيدة رومنسيه,0
75479,,الصنوبري,"لا زلت تحمي ذمار الدين والأدبِ
وظـلت مـحـتـجـبـاً عـن أعـين النوبِ
أتــى نــداك ولمــا أدعــه عــجـبـاً",,"قصيدة مدح.

المقطع:
أنت من يرفع الس",قصيدة مدح,0
49937,أرحها فقد ضاقت بها سعة المدى,ابن الساعاتي,"أرحها فقد ضاقت بها سعةُ المدى
وأيهاً فمن أصواتها نغمُ الحدا
وهاتيك أعلام الحمى فابكِ ساعةً",قصيدة عامه,"قصيدة رثاء.

المقطع:
ألا يا ليل",قصيدة رثاء,0
238276,دَورةُ وَجْد,ريان عبدالرزاق الشققي,"جميلٌ أنت يا حبي
تراعيني وأرعاكا
تبادلني حكاياتي",,"قصيدة غزل.

المقطع:
أنتِ التي تمل",قصيدة غزل,0
225868,تراتيل السماء,علاء خلف,"مــاذا تـبقى مـنْ تـراتيلِ الـسَّماءْ
غـيرَ الـمحبةِ فـي قـلوبِ الأنـقياءْ
هــمْ ثـلةٌ زرعـوا الـسعادةَ والـهنا",,"قصيدة دينية.

المقطع:
أَلاَ لِل",قصيدة دينية,0
51188,صيد السرور أجل من المعقول,الشريف العقيلي,"صَيدُ السُرورِ أَجَلَّ مِن ال
مَعقولِ مِن صَيدِ الطُيورِ
هَذا شِفاءٌ لِلعُيو",قصيدة عامه,"قصيدة شوق.

المقطع:
أَلاَ لِل",قصيدة شوق,0
126867,,شُمَيْم الحلي,"فـي كـل يـوم بـجفن عيني
دمــع غــريـب عـلى غـريـب
حتى كأن الغرام دون ال",,"قصيدة حزينه.

المقطع:
ألا يا ليل",قصيدة حزينه,0
46565,والصبح قد مطل الليل العيون به,ابن رشيق القيرواني,"وَالصُّبْحُ قَدْ مَطَلَ اللَّيْلُ العُيُونَ بِهِ
كأَنَّهُ حاجَةٌ في يَدِّ ضِنِّينِ",قصيدة قصيره,"قصيدة شوق.

المقطع:
وَأَنَا أ",قصيدة شوق,0
69903,,عبد الصمد بن المعذل,"يُــري الغــزاة بــأنَّ اللّه هــمـتـه
وإنّــمــا كــان يـغـزو كـيـس اسـحـقِ
فـبـاع زهـدا ثـوابـاُ لا نـفاد له",,"قصيدة دينية.

المقطع:
ألا يا ليلَ",قصيدة دينية,0
117193,,محمد شهاب الدين,"روضــة الآس والبــنــفــســج غـنـا
وهـزار الربـا عـلى العـود غـنـا
وزمــان البــهــار وافـى يـريـنـا",,"قصيدة رومنسيه.

المقطع:
ألا يا ص",قصيدة رومنسيه,0
41103,وافت هداياك التي مثلها,الأمير الصنعاني,"وافت هداياك التي مثلها
ما سمعت أذني ولا قد رأيت
حار بها خِرِّيت فكريَ الذي",قصيدة عامه,"قصيدة غزل.

المقطع:
ألا يا عذراء",قصيدة غزل,0
154516,,ابن الصباغ الجذامي,"أتــراك عــمــا قـد جـنـاه تـصـفـح
فــبــقــلبـه نـار التـاسـف تـلقـح
للعـفـو يجنح في الشدائد خاطري",,"قصيدة عتاب.

المقطع:
ألا يا صاحبي",قصيدة عتاب,0
104871,,شهاب الدين الخزرجي,"وَشــاعــرٍ يَــســحَـرُنـي
بــنــظـمِه ومـا نَـثَـر
لم يشعرنَّ في الهوى",,"قصيدة غزل.

المقطع:
وَأَحْ",قصيدة غزل,0
81008,,الأبله البغدادي,"دم يـا أبـا الفضل الكري
م أخـــا عـــلوٍّ وارتــفــاعِ
واخــلد بـهـاء الديـن مـش",,"قصيدة مدح.

المقطع:
ألا يا صاحبي",قصيدة مدح,0
176121,يأيها الراكب الغادي لطيته,بشار بن برد,"يأيها الراكب الغادي لطيته
لا تَطْلُبِ الخُبْزَ بَيْنَ الْكَلْبِ وَالْحُوتِ
دينار آل سليمان ودرهمهم",,"قصيدة هجاء.

المقطع:
ألا يا صاح",قصيدة هجاء,0
184478,عودي,فارس الهيتي,"وَيحَ قَلبي !! هَدَّهُ الشوقُ فَغَنّى
.......وِاستَطابَ العَيشَ في أَسرِ القيودِ
هَل أَنا حَقًا كما كُنتُ أُغَنّي",,"قصيدة شوق.

المقطع:
وَأَحْ",قصيدة شوق,0
22902,زارت على غفلة من الحرس,ابن الرومي,"زارت على غفلةٍ من الحَرسِ
تُهدي إلي السلام في الغَلسِ
كأنما البدر حين قابلها ال",قصيدة عامه,"قصيدة رومنسيه.

المقطع:
أنتِ من",قصيدة رومنسيه,0
12278,قفا نبك من ذكرى حبيب وعرفان,امرؤ القيس,"قِفا نَبكِ مِن ذِكرى حَبيبٍ وَعِرفانِ
وَرَسمٍ عَفَت آياتُهُ مُنذُ أَزمانِ
أَتَت حُجَجٌ بَعدي عَلَيها فَأَصبَحَت",قصيدة حزينه,"قصيدة رثاء.

المقطع:
أَلا لِل",قصيدة رثاء,0
205996,رزان,ملك إسماعيل,"رزانُ قولي لهم لا لمْ أَمُت أبدًا
فالموتُ يبسطُ عندي للحياةِ يدا
والشمسُ لا سِنَة عني ستأخذها",,"قصيدة رثاء.

المقطع:
ألا يا ليل",قصيدة رثاء,0
63401,تقواك زاد فاعتقد أنه,أبو العلاء المعري,"تَقواكَ زادٌ فَاِعتَقِد أَنَّهُ
أَفضَلُ ما أَودَعتَهُ في السَقاء
آهٍ غَداً مِن عَرَقٍ نازِلٍ",قصيدة قصيره,"قصيدة حزينه.

المقطع:
أَلاَ ل",قصيدة حزينه,0
170539,الْحُبُّ دَيْنٌ,محمود السيد الدغيم,"لَنَاْ ـ فِيْ ذِمَّةِ الْحَسْنَاْءِ ـ وَعْدٌ
وَوَعْدُ الْغَاْدَةِ الْحَسْنَاْءِ دَيْنُ
إِذَاْ وَعَدَتْ، وَأَوْفَتْ صَاْرَ جُرْماً",,"قصيدة مدح.

المقطع:
وَأَنْت",قصيدة مدح,0
96679,,ابن شُهَيد,"سَـقْـيـاً لطِـيـبِ زَمـانِنا وسُرُورهِ
وعَـزِيـزِ عَـيـشٍ مُـسْـعِـفٍ بِـغَـزيـرِه
وتــكَـفُّري بـرداءِ وَصْـلِ مُـقَـرْطَـقٍ",,"قصيدة مدح.

المقطع:
أَلاَ لِل",قصيدة مدح,0
236396,طريق الجلجلة مناجاة فدائي فلسطيني,طلعت سفر,"ـ 1 ـ
ـ على جدران مدرستي..... رسمتُ طريق جلجلتي
حملتُ صليبها الممتدّ من جرحي..... ليلثِم شرفة الأقصى الذي صلى به عُمرُ",,"قصيدة دينية.

المقطع:
ـ 2 ـ
ـ",قصيدة دينية,0
183827,إنابة ودعاء,المر بن سالم الحضرمي,"إنابة ودعاء
عظيمُ الذنب يغفره العظيمُ
ويحلم عن مُناويه الحليمُ",,"قصيدة اعتذار.

المقطع:
ألا يا ليل",قصيدة اعتذار,0
92115,,الستالي,"آبَ الظّـــلامُ بـــأذكـــارٍ وتـــشــويــقِ
لمُــسْــتَهــامٍ بــطــيـفِ الشّـوق مَـطْـروقِ
وطــالَ ليــلُ المــعـنّـى حـيـن خـامَـرَهُ",,"قصيدة شوق.

المقطع:
أَلاَ لِل",قصيدة شوق,0
62928,أسيف الدين قد حملت ظهري,الشريف المرتضى,"أَسيفَ الدّين قد حمّلتَ ظهري
عوارفَ لا أُطيق لها اِحتمالا
ثقائلَ لو حُملنَ على شَرَوْرى",قصيدة مدح,"قصيدة رثاء.

المقطع:
أَسيفَ",قصيدة رثاء,0
132109,,رفاعة الطهطاوي,"سـألنـا مـعـالي مصر هل لكِ عودةٌ
وهل سابقاتُ الدهر يدنو بعيدُها
فـقـالت بـإسـمـاعـيـلَ أوحـدِ عصرِه",,"قصيدة مدح.

المقطع:
ألا يا ليلَ",قصيدة مدح,0
123273,,عزان المَعْوَلي,"للْعِطْرِ أَسْوَارٌ بِرَائِحَةِ
المَطَرْ
صَلَّتْ عَلَى كَهْفٍ",,"قصيدة دينية.

المقطع:
أَتَجَ",قصيدة دينية,0
216603,النساء ضحايا أحوالنا,خالد مصباح مظلوم,"وجربـــتُ النساء ولــم أشاهــدْ
سوى فيهـــــنّ تكـرارَ المَشاهِـدْ
فما أيُّ اختــلاف غيرَ وهْــمٍ",,"قصيدة غزل.

المقطع:
ألا يا صاحبي",قصيدة غزل,0
74356,,أبو نصر القشيري,"رمـضـان أرمـضـنـي بـعـادات عـلى
عدد الطبائع والفصول الأربعه
صـوم وصـوب مـا يـغـيـب سـحـابه ",,"قصيدة دينية.

المقطع:
أنت نموذج يف",قصيدة دينية,0
197054,ظُلْم,حسان أحمد قمحية,"ظُلْمٌ يَلفُّ الـمَدَى في حاضِرِ الزَّمَنِ
مِنْ حَوْلِهِ كُرَبٌ تَسْعَى بِلا وَهَنِ
والنَّاسُ في شَطَطٍ عَن حالِ أُمَّتِهمْ",,"قصيدة سياسية.

المقطع:
أَلاَ لِل",قصيدة سياسية,0
17309,الما تعجبي وترى بطيطا,الكميت بن زيد,"الما تعجبي وترى بطيطا
من اللائين في الحِجج الخوالي",قصيدة قصيره,"قصيدة هجاء.

المقطع:
ألا يا ليل",قصيدة هجاء,0
100911,,ابن أبي الخصال,"وكَـلفـنـي خـوفُ ابـنِ عـبـدونَ رَدَّهـا
فـأَرجـأتُهـا حَـولاً كَـريـتاً ومَربَعا
وقد كانَ في نفسي ورَأيي اطِّراحُها",,"قصيدة عتاب.

المقطع:
وَأَقْ",قصيدة عتاب,0
98901,,مصطفى زين الدين الحمصي,"هـبـرة الضـان اسـتـحـالت كبباً
وبــبــيــت النـار ذاقـت لهـبـا
يــــــا له فـــــرن له رائحـــــة",,"قصيدة حزينه.

المقطع:
ألا يا ليل",قصيدة حزينه,0
250286,جدار... عـلى وشْكِ الــطيران,حاتم الزهراني,"I
وحْــــــدي..
عــلــى طـُـــولِ هــذهِ الــحــَــلــَــبــَــهْ",,"قصيدة شوق.

المقطع:
أَلاَ لِل",قصيدة شوق,0
83257,,عبد العزيز الفِشتالي,"يا نَسمَةً بَكَرَت أَباطِحَ لَعلَعٍ
وَسَرَت تَجُرُّ ذُيولَها بِالأَجرَعِ
شِـحـرِيَّةـٌ نَـشَأَت تُضَمِّخُ أَربُعاً",,"قصيدة غزل.

المقطع:
أَلاَ لِل",قصيدة غزل,0
41029,أتعبت نفسي في تحصيله فعسى,الأمير الصنعاني,"أتعبت نفسي في تحصيله فعسى
أفوز بالهدي في مستقبل العمر
قد أعرض الناس عن علم الحديث وقد",قصيدة قصيره,"قصيدة دينية.

المقطع:
ألا يا ليل هل",قصيدة دينية,0
109870,,محمود سامي البارودي,"أَبَــعْـدَ سِـتِّيـنَ لِي حَـاجٌّ فَـأَطْـلُبـهَـا
هَـيْهَـاتَ ما لامْرِئٍ بَعْدَ الصِّبَا حاجُ
إِنَّ ابْـنَ آدَمَ فِـي الدُّنْيَا عَلَى خَطَرٍ",,"قصيدة حزينه.

المقطع:
أَلاَ ل",قصيدة حزينه,0
131422,,علي الدرويش,"يـا ويـح عقلك لما ماتت البقرُ
قد غرك الطمع المذموم يا عمرُ
أدَرتَ سـاقـيـةً يـومـاً فـما برحت",,"قصيدة ذم.

المقطع:
يا ليتني كنتُ",قصيدة ذم,0
129493,,الأخرس,"هــكـذا كـانَ فـعـلَهـا الحـمـقـاءُ
ربَّمـا تَـحْـلقُ اللّحـى الكـيـمياءُ
أفكان الإِكسير والشَّعر والبَعْرُ",,"قصيدة هجاء.

المقطع:
أنتِ التي ت",قصيدة هجاء,0
67175,عليل فؤادي منك يا كامل الحسن,مبارك بن حمد العقيلي,"عليل فؤادي منك يا كامل الحسن
نجوت فأدركني من الهم والحزن
بديع البها وصلاً فقد سهد الملا",,"قصيدة رومنسيه.

المقطع:
ألا يا ل",قصيدة رومنسيه,0
3055,وقفت وقد ضاق بي,نسيب عريضة,"وَقَفتُ وَقد ضاقَ بي
سَبيلُ المُنى الساخِرة
ولم يبقَ من مَذهَبي",قصيدة رومنسيه,"قصيدة حزينه.

المقطع:
وَقَفت",قصيدة حزينه,0
21750,لست ضيفاً على أحد,قاسم حداد,"تأتي القهوة مسبوقة بعطرها
وتأتي الأراكيلُ
يأتي نحاسُ الطواجن مكلّلاً بالبهار",قصيدة عامه,"قصيدة عامه.

المقطع:
أنتِ التي تجعل",قصيدة عامه,1
49027,تمارح أنضاء السرى عجرفية,الحيص بيص,"تمارحُ أنضاءُ السُّرى عجْرفيَّةً
وقد وهبَت نحْض الذُّرى للسباسب
مِراح الصَّفايا بالغريب غُدَيَّةً",قصيدة عامه,"قصيدة شوق.

المقطع:
أَلا يا لَ",قصيدة شوق,0
180454,وأنت ربي,أميرة محمد صبياني,"أَتَخْنُقُنِي الحياةُ وأنت ربي ؟!
وأنتَ اللهُ في ضَعْفِي وَكَرْبِي ؟!
وأنتَ الله .. إن كَثُرَت ذنوبي",,"قصيدة دينية.

المقطع:
أَتَخْ",قصيدة دينية,0
132693,,ابن حزم الأندلسي,"كــانـت إلى دهـري لي حـاجـةٌ
مقرونةٌ في البعد بالمشتري
فـسـاقـهـا بـاللطـف حتى إذا",,"قصيدة غزل.

المقطع:
ألا يا صاحبي",قصيدة غزل,0
171400, أرصفة و أرغفة,زياد السعودي,"سفرٌ في طفولةِ
تشبهُ العراءَ اللانهائي...
إلياذة ٌ",,"قصيدة شوق.

المقطع:
أنتِ التي أُ",قصيدة شوق,0
88893,,ابن الهبارية,"طرَقَتْ وساريةُ النّجومِ هجودُ 
 وسرت وشاردةُ الرِّياحِ ركودُ",,"قصيدة قصيرة.

المقطع:
أَحْبُ",,1
132839,,أحمد سحنون,"عــجــبــت لنــفــســي كــيــف جــرت عــلى
نفسي وأذللتها طوعا لمن سرهم حبسي
يـــبـــيــتــون حــراســا عــلي وإنــنــي",,"قصيدة عتاب.

المقطع:
ألا تذكرني ب",قصيدة عتاب,0
75598,,الصنوبري,"يــا ذا العـروسُ ليُهْـنِـكَ العـرسُ
ولتـــهـــنِــكَ الخَــلَواتُ والأنــسُ
والبــدرُ أكــمـلُ مـا يـكـونُ إذا",,"قصيدة مدح.

المقطع:
يا سيدي، يا س",قصيدة مدح,0
61416,ما مثل هذا اليوم في طيبه,ابو نواس,"ما مِثلُ هَذا اليَومِ في طيبِهِ
عُطِّلَ مِن لَهوٍ وَلا ضُيِّعا
فَما تَرى فيهِ وَماذا الَّذي",قصيدة قصيره,"قصيدة عامه.

المقطع:
أَلا لِلْ",قصيدة عامه,0
185880,رمالٌ وظلال,محمود المشهداني,"مــن ذا يجيـرُ مدائناً قــدْ كنّ فـي
تــــرفٍ ...بعـِـــزّة أهلهـا تختـالُ
قد ضعن في سغبٍ وفي غبراتها",,"قصيدة رثاء.

المقطع:
ألا يا ليل",قصيدة رثاء,0
205988,عوافي,ملك إسماعيل,"صـبـاحُ الـوردِ يا عـبـقَ القـوافـي
صـباحُ الشعرِ مذ خطَّ اعتـرافـي
بـأن ربــيـعـكم قــد زان روضي",,"قصيدة مدح.

المقطع:
أنتِ الـورد",قصيدة مدح,0
244565,الغائب,بهاء الدين رمضان,"النساء اللاتي
يهجرن سريري
في آخر الليل وقرب الفجر",,"قصيدة فراق.

المقطع:
أنتِ التي
ت",قصيدة فراق,0
147774,,نظام الدين الأصفهاني,"قَد أَشرَقَ في الدُجى شعاعُ الفَجرِ
واِمـتَـدَّ إِلى الظَلامِ باعُ الفَجرِ
لا تَلهُ عَن المُدام واملأ قَدَحاً",,"قصيدة شوق.

المقطع:
أَتَذَ",قصيدة شوق,0
208568,بالعلم يدرك أقصى المجد من أمم,جبران خليل جبران,"بالعلم يدرك أقصى المجد من أمم
ولا رقي بغير العلم للأمم
يا من دعاهم فلبته عوارفهم",,"قصيدة سياسية.

المقطع:
ألا يا ليل،",قصيدة سياسية,0
28783,كلما تبت عن ذنوبي منيبا,حسن كامل الصيرفي,"كُلَّما تُبتُ عَن ذُنوبي مُنيباً
وَتَبَلَّت بُكرَةً وَعَشِيّا
قامَ إِبليسٌ اللَعينُ وَنَفسي",قصيدة دينية,"قصيدة ذم.

المقطع:
وَأَحْ",قصيدة ذم,0
200588,يا أبا جَعْفَرٍ! بأيّ مَكَانٍ,البحتري,"يا أبا جَعْفَرٍ! بأيّ مَكَانٍ
ضَاعَ مِنّي رَأيي، وَضََلَّ لساني
وَامتِداحيكَ لا لشَيْءٍ، ولكِنْ",,"قصيدة مدح.

المقطع:
يا أبا جَعْ",قصيدة مدح,0
14317,شغلت بخلسة المقل,تميم الفاطمي,"شُغِلت بِخِلسة المُقَلِ
ومَزْجِ الكُحْل بالكَحَلِ
وما اعتلَّتْ به الألحا",قصيدة رومنسيه,"قصيدة غزل.

المقطع:
أَتَذَ",قصيدة غزل,0
154490,,ابن الصباغ الجذامي,"هـجـروا المـضـاجع والتنعم والهوى
قـامـوا عـلى قـدم المـتـاب الأحمدِ
طردوا المنام عن الجنون وأيقظوا",,"قصيدة دينية.

المقطع:
ألا يا ليل،",قصيدة دينية,0
201358,العزبة ١,أبو حجاج,"العزبة وعمدتها القاضي...
ظابط دكتور ومهوش فاضى...
سمسار واديب رميو وحبيب.....",,"قصيدة غزل.

المقطع:
أنتِ التي أُ",قصيدة غزل,0
1865,إن سامك الخطب يوما والكروب دهت,أبو الهدى الصيادي,"إن سامك الخطب يوماً والكروب دهت
فالجأ بباب جناب اللَه وانتبه
ولذ بأعتاب شمس المرسلين وقل",قصيدة قصيره,"قصيدة دينية.

المقطع:
ألا يا ليل هل",قصيدة دينية,0
147657,,نظام الدين الأصفهاني,"يا دارُ سُقيتِ عَبرَتي يا دار
ماذا فَعَلت بي وَبِكَ الأَدوارُ
مِـن آهَـةِ وَجدي وَدُموعي أَخشى",,"قصيدة رثاء.

المقطع:
يا أَيُها",قصيدة رثاء,0
68601,أهواه مهفهفا ثقيل الردف,ابن الفارض,"أهواهُ مُهَفْهَفاً ثقيلَ الرّدف
كالبدرِ يَجُلُّ حسنُهُ عن وَصْفِ
ما أحسَنَ واو صُدْغِهِ حينَ بَدَتْ",,"قصيدة غزل.

المقطع:
أَلاَ لِل",قصيدة غزل,0
219306,ترتيل صوتك,خالد مصباح مظلوم,"ترتيـــلُ صوتـكَ تسْتلـذُّه أذْني
يحدو الدماغ إلى اجتثاث الحُزْنِ
الله أكبـــرُ لستَ تقرأ سُــورة",,"قصيدة دينية.

المقطع:
أنتِ الوردة",قصيدة دينية,0
183055,وكلفني دهري بنسيان ذكرهم,مهدي البغدادي,"وكلفني دهري بنسيان ذكرهم
وإني لا أنسى ارادة لا أنسى
فأوجب هذا الامر في كل ساعة",,"قصيدة رثاء.

المقطع:
ألا يا ليل",قصيدة رثاء,0
