row_idx,goal,sol1,sol2,gold_label_idx,pred_text,pred_label_idx,correct
1569,كيف يمكنني تنظيف روضة للأطفال، إذا لم يكن لدي حوض استحمام؟,افتح روضة الأطفال وقم بإزالة الجزء السفلي إن أمكن. قم بإعداد محلول من الماء الدافئ والصابون في وعاء. باستخدام الماء والصابون وخلاط نظيف أو كشتبان، افرك الجزء الخارجي من روضة الأطفال: الأرجل والشباك والقماش وكل شيء. اشطفه بالماء النظيف (أسرع طريقة هي إخراجه إلى الخارج، إذا لم يكن موجودًا بالفعل، ثم غسله بخرطوم المياه، ولكن يمكنك أيضًا مسحه بقطعة قماش مبللة). ثم قم بالداخل، وإذا قمت بإزالته، فالقاع. اشطف كل شيء مرة أخرى وانتهيت!,قلم روضة الأطفال وقم بإزالة الجزء السفلي إن أمكن. قم بإعداد محلول من الماء الدافئ والصابون في وعاء. باستخدام الماء والصابون وإسفنجة أو قطعة قماش نظيفة، افرك الجزء الخارجي من روضة الأطفال: الأرجل والشباك والقماش وكل شيء. اشطفه بالماء النظيف (أسرع طريقة هي إخراجه إلى الخارج، إذا لم يكن موجودًا بالفعل، ثم غسله بخرطوم المياه، ولكن يمكنك أيضًا مسحه بقطعة قماش مبللة). ثم قم بالداخل، وإذا قمت بإزالته، فالقاع. اشطف كل شيء مرة أخرى وانتهيت!,1,"أ

الشرح:
الخ",0,0
1501,لعمل قشرة فطيرة هشة.,استخدمي يديك وافركي الزبدة في الدقيق حتى تذوب الزبدة تمامًا.,احتفظ بمكوناتك مثل الزبدة والدقيق باردة واعمل بأقل قدر ممكن.,1,"ب

الشرح:
الخيار",1,1
709,صد الذباب,أضف القليل,إضافة بنس إلى كوب من الماء,1,"ب

الشرح:
الخ",1,1
1785,لعمل نسخة من صفحة في كتاب،,ابحث عن الصفحة في الكتاب، وضعها على زجاج آلة التصوير بحيث تكون الصفحة متجهة للأعلى، ثم اضغط على زر النسخ.,ابحث عن الصفحة في الكتاب، ثم ضعها على زجاج آلة التصوير بحيث تكون الصفحة متجهة للأسفل، ثم اضغط على زر النسخ.,1,"أ)

الشرح:",0,0
545,ضع طبقة حماية خفيفة من الحرارة بين القماش والخشب.,قم بقطع قطعة من الورق المقوى وبضع طبقات من الضرب بالحجم المناسب، ثم ضع طبقة بين القماش والخشب.,قص قطعة من الورق وبضع طبقات من الساتان بالحجم المناسب، ثم ضع طبقة بين القماش والخشب.,0,"أ)

الشرح:",0,1
1100,لتناسب القشرة مع الفطيرة.,قم أولاً بالعثور على نصف قطر طبق الفطيرة الخاص بك. مضاعفة ذلك. ثم خذ هذا الرقم واضربه بـ pi (3.14). وهذا يمنحك المحيط الذي تحتاجه.,افردي العجينة حتى تصبح أكبر من حجم صينية الفطيرة. ضعي صينية الفطيرة على العجينة.,1,"ب

الشرح:
الخ",1,1
1745,عند تحضير فطيرة الراوند بالفراولة، ما هي الخيارات التي يمكنني إضافتها؟,عند تحضير فطيرة الراوند بالفراولة، يمكنك إضافة كريمة جوز الهند المخفوقة على الجانب.,عند تحضير فطيرة الراوند بالفراولة، يمكنك إضافة جانب من الكيشي على الجانب.,0,"أ)

الشرح:",0,1
1757,للتخلص من الأكياس تحت العين.,أحضري جزرة نيئة واغسليها وقشريها. قطعي شريحتين وضعيه مباشرة تحت عينيك لبضع دقائق.,أحضري حبة بطاطا نيئة واغسليها وقشريها. قطعي شريحتين وضعيه مباشرة تحت عينيك لبضع دقائق.,1,"ب

الشرح:
الخ",1,1
874,كشتبان,يمكن وضعها على الجرة,يمكن وضعها على قلم تلوين,1,"أ

الشرح:
يمكن وضع",0,0
525,لإعداد وصفة بسيطة للفلفل الحار، يجب أن يكون لدى الطباخ ما يلي:,لحم البقر والفاصوليا والطماطم والفلفل والفلفل الحار المجفف والبصل والثوم والمرق والماء.,لحم البقر، الحليب، الجبن، الفلفل الحلو، مسحوق الكاري والخردل الأصفر للتتبيل.,0,"أ

الشرح:
الخ",0,1
27,حقيبة بلاستيكية,يمكن أن تحمل احباط,يمكن أن تحمل القطب,0,"أ)

الشرح:",0,1
338,كيفية إعادة استخدام مرطبانات المطبخ القديمة؟,يمكن إعادة استخدام أوعية المطبخ القديمة كمزهريات للزهور من خلال طلاءها.,يمكن إعادة استخدام برطمانات المطبخ القديمة كغذاء للكلاب الأليفة.,0,"أ

الشرح:
الخيار",0,1
51,كيف يمكنني إزالة التجاعيد من سترة جلدية جديدة لم يتم ارتداؤها من قبل؟,بعد أخذ حمام ساخن، قم بتعليق السترة في خزانة غرفة النوم ولكن لا تدعها تلمس أي ماء. من المفترض أن يساعد البخار الناتج عن الاستحمام في التخلص من التجاعيد.,بعد الاستحمام بماء ساخن، قم بتعليق الجاكيت في الحمام ولكن لا تدعه يلمس أي ماء. من المفترض أن يساعد البخار الناتج عن الاستحمام في التخلص من التجاعيد.,1,"ب

الشرح:
الخ",1,1
1476,كيف يمكنني صنع أصص تتوهج في الظلام؟,قم بتغطية المزارعون بطبقة أساسية، ثم قم برشها برذاذ الطلاء الشفاف، ثم قم برشها بداخل عدد قليل من العصي المتوهجة.,تنظيف زارع الخاص بك من الداخل والخارج. قم بتغطيتها بطبقة رقيقة من الطلاء المتوهج في الظلام.,1,"ب

الشرح:
الخ",1,1
1512,يمكنك معرفة متى يكون السائل على وشك الغليان,انتظر حتى يبدأ السائل في الانفجار,انتظر حتى يبدأ السائل في الزبد,1,"ب

الشرح:
الخيار",1,1
1220,ماذا تستخدم لتنعيم الأسمنت قبل أن يجف؟,تحتاج إلى استخدام مجرفة لتنعيمها بشكل صحيح.,تحتاج إلى استخدام منشفة لتنعيمها بشكل صحيح.,0,"أ

الشرح:
أ)",0,1
1699,كيف تكدس شيئا؟,ضعه بجوار نفس العنصر واستمر في ذلك.,ضعه فوق نفس العنصر واستمر في ذلك.,1,ب) ضعه فوق نفس العن,1,1
439,خطاف,فرع بعقبة عن طريق الخطأ,شجرة عقبة عن طريق الخطأ,0,"أ)

الشرح:",0,1
1303,لتحضير شاي التفاح المثلج المنعش،,صب 4 أكواب من الماء المغلي في وعاء، واترك الشاي الأخضر ينقع لمدة 4-5 دقائق، ثم تخلص من أكياس الشاي، واترك الشاي يصل إلى درجة حرارة الغرفة وأضف 4 أكواب من عصير البرتقال.,صب 4 أكواب من الماء المغلي في وعاء، واترك الشاي الأخضر ينقع لمدة 4-5 دقائق، وتخلص من أكياس الشاي، واترك الشاي يصل إلى درجة حرارة الغرفة وأضف 4 أكواب من عصير التفاح.,1,"ب

الشرح:
لتحض",1,1
696,إعداد حامل المجلة.,ضع الجانب القديم من سرير الطفل الخشبي على الحائط.,ضع الجانب القديم من سرير الطفل الخشبي على الأرض.,0,"أ

الشرح:
الخيار",0,1
351,قص صفحات من كتاب,باستخدام سكين x-acto، افتح الكتاب واقطعه على طول الصفحة القريبة من الغلاف.,باستخدام سكين بلاستيكي، افتح الكتاب واقطعه على طول الصفحة بالقرب من الغلاف.,0,"أ

الشرح:
سك",0,1
770,لبناء أرضية ساخنة لكوخ،,اصنع فتحة تهوية لتدفق دخان النار القريبة تحت الكوخ.,احفر حفرة أسفل الكوخ وأشعل النار فيها قبل تغطيتها مرة أخرى.,0,"ب

الشرح:
الخيار",1,0
1717,طريقة عمل حلوى البرتقال في المنزل.,اخلطي 3 أكواب من السكر الحبيبي، و3/4 كوب من السمن، و2/3 كوب من الحليب المبخر في قدر كبيرة وثقيلة على نار متوسطة مع التحريك حتى يذوب السكر. يُغلى المزيج بالكامل لمدة 5 دقائق مع التحريك باستمرار. يُرفع عن النار ويُضاف 12 أونصة من رقائق الشوكولاتة شبه الحلوة إلى أن تذوب وتُمزج جيدًا. اخفقي في وعاء سعة 17 أونصة من كريمة الخطمي، ونصف كوب من قطع اللوز، ونصف كوب من البرتقال المسكر، وملعقة صغيرة من خلاصة الفانيليا. انقلي الحلوى إلى صينية مدهونة مقاس 8 × 13 بوصة واتركيها تبرد قبل تقطيعها إلى مربعات.,اخلطي 3 أكواب من السكر الحبيبي، و3/4 كوب من السمن، و2/3 كوب من الحليب المبخر في قدر كبيرة وثقيلة على نار متوسطة مع التحريك حتى يذوب السكر. يُغلى المزيج بالكامل لمدة 5 دقائق مع التحريك باستمرار. يُرفع عن النار ويُضاف 12 أونصة من رقائق الشوكولاتة شبه الحلوة إلى أن تذوب وتُمزج جيدًا. اخفقي في وعاء سعة 7 أونصة من مخلل الشبت الكامل، ونصف كوب من قطع اللوز، ونصف كوب من البرتقال المسكر، وملعقة صغيرة من خلاصة الفانيليا. انقلي الحلوى إلى صينية مدهونة مقاس 8 × 13 بوصة واتركيها تبرد قبل تقطيعها إلى مربعات.,0,"أ

الشرح:
الخ",0,1
1313,عند تحضير كعك أو كعك التوت الأزرق، كيف أحافظ على التوت الأزرق من تحول لون الكعك أو الكب كيك إلى اللون الأزرق؟,عند إضافة التوت الأزرق، تأكد من ذوبانه بالكامل.,عند إضافة التوت الأزرق، تأكد من أنه مجمد.,1,"ب)

الشرح:
ع",1,1
1812,نحت الكلمات على ألواح خشبية.,خذ قطعة من الورق واكتب عليها الكلمة التي تريد نحتها. أمسك الورقة فوق لوح واستخدم سكينًا لتتبع كلمتك ونحتها في الخشب.,خذ قطعة من الأنبوب واكتب الكلمة التي تريد نحتها عليها. أمسك الأنبوب فوق لوح واستخدم سكينًا لتتبع كلمتك ونحتها بشكل أعمق في الأنبوب.,0,"أ)

الشرح:",0,1
890,لبدء مشروع مقعد السرير لسريرك،,اجمع كل الأدوات واللوح الخشبي للمقعد وقم بقياس السرير الذي يحتاج إلى المقعد.,احصل على جميع الأدوات وقم بقياس السرير.,0,"أ

الشرح:
الخيار",0,1
889,منع تعرق القدمين عند ارتداء الأحذية المسطحة.,رش الجزء الداخلي من الأحذية بالشامبو الجاف.,رش الجزء الخارجي من الأحذية بالشامبو الجاف.,0,"أ)

الشرح:",0,1
166,كيف أهدئ لساني إذا أحرقته؟,ضع بعض الملح عليه.,ضعي بعض السكر عليه.,1,أ) ضع بعض الملح,0,0
43,دلو,يمكن أن يحمل الحمض,يمكن أن تحمل الطلاء,1,"ب

الشرح:
الخ",1,1
1043,كيفية إرفاق الدانتيل الممزق في حقيبة اليد؟,سيكون من الأفضل لحام الدانتيل على البقعة الممزقة في حقيبة اليد.,سيكون من الأفضل زرع الدانتيل على البقعة الممزقة في حقيبة اليد.,1,"ب

الشرح:
لح",1,1
833,"صنع كرة من ""الغزل"" من القماش من قطعة ملابس قديمة متماسكة.",نقطع شرائح رفيعة على شكل حلزوني ونلفها على شكل كرة.,نقطع شرائح رفيعة على شكل مربع ونلفها على شكل كرة.,0,"أ)

الشرح:",0,1
850,لاستخدام دفقة من خلاصة الفانيليا،,اقلب الزجاجة رأسًا على عقب واترك المحتويات تتناثر في وعاء الخلط.,صب كمية صغيرة في ملعقة حساء وأسقطها في وعاء الخلط.,1,"ب

الشرح:
الخيار",1,1
1349,حافظ على شرائح الفاكهة من التحمير,يمكنك إضافة عصير الليمون,يمكنك إضافة عصير الجزر,0,"أ)

الشرح:",0,1
794,كيف تضع طوق على الكلب؟,ضعه حول رقبة الكلاب.,ضعه حول أذرع الكلاب.,0,"أ)

الشرح:",0,1
946,كيف يمكنني سحب/دفع طفلي في الأرجوحة أثناء الجلوس والراحة؟,اربط خيطًا بالقضيب الموجود أعلى الأرجوحة، ثم مرر الخيط إلى المكان الذي تريد أن تجلس فيه واسحب الخيط لتحريك الطفل.,اربطي خيطًا بمقبض أو قاعدة الأرجوحة، ثم مرري الخيط إلى المكان الذي تريدين الجلوس فيه واسحبي الخيط لتحريك الطفل.,1,"ب

الشرح:
الخ",1,1
1035,طريقة عمل سلطة السبانخ بالجبنة,اخفقي جزءًا واحدًا من خل النبيذ الأحمر مع 3 أجزاء من زيت الجوز والكراث والملح والفلفل. يُمزج مع السبانخ الصغيرة وحليب الماعز والجوز.,اخفقي جزءًا واحدًا من خل النبيذ الأحمر مع 3 أجزاء من زيت الجوز والكراث والملح والفلفل. أضيفي السبانخ الصغيرة وجبن الماعز والجوز.,1,"ب

الشرح:
الخ",1,1
856,لتحضير البرقوق للحشوة.,البرقوق مغسول ومجفف على البخار. يمكنك إما تقطيعها إلى النصف أو تقسيمها إلى أرباع. اعتمادًا على حجم الزلابية التي تريدها. إذا قمت بتقطيعها إلى أرباع، فيجب أن تصنع هذه الوصفة 20 زلابية على الأقل.,البرقوق، غسلها وتجفيفها بالتربيت. يمكنك إما تقطيعها إلى النصف أو تقسيمها إلى أرباع. اعتمادًا على حجم الزلابية التي تريدها. إذا قمت بتقطيعها إلى أرباع، فيجب أن تصنع هذه الوصفة 20 زلابية على الأقل.,1,"ب

الشرح:
الخ",1,1
1414,الحصول على وظيفة مجالسة الأطفال.,ليس كبيرا بما يكفي للعمل؟ يمكنك مجالسة الأطفال. أخبر والديك واطلب منهم إخبار أصدقائهم. تأكد من شحن ما يكفي من المال واستمتع بوقتك مع الأطفال.,ليس كبيرا بما يكفي للعمل؟ يمكنك مجالسة الأطفال. أخبر والديك واطلب منهم إخبار أصدقائهم. تأكد من دفع ما يكفي من المال واستمتع بوقتك مع الأبقار.,0,"أ)

الشرح:",0,1
1703,كيف تستخدم الفلاش في نيكون b500؟,اضغط على فلاش.,ارفع الفلاش لأعلى.,1,"ب

الشرح:
في",1,1
607,كيفية نقل الكلمات إلى الخشب,قم بإنشاء النص الخاص بك باستخدام برنامج تحرير الكلمات أو الصور. اطبع النص الخاص بك على ورقة الطابعة. قم بتغطية الجزء الخلفي من أقلام التلوين الورقية والغراء الأبيض. ألصق ورق الجرافيت على قطعة الخشب بحيث يكون جانبها لأسفل. تتبع الحروف بالقلم الرصاص، مع الضغط بقوة. قم بإزالة الورقة، ثم قم بتمرير الحروف، إذا لزم الأمر. قم بطلاء الحروف بطلاء الأكريليك. دع الطلاء يجف,قم بإنشاء النص الخاص بك باستخدام برنامج تحرير الكلمات أو الصور. اطبع النص الخاص بك على ورقة الطابعة. قم بتغطية الجزء الخلفي من الورقة بالجرافيت. ألصق ورق الجرافيت على قطعة الخشب بحيث يكون جانبها لأسفل. تتبع الحروف بالقلم الرصاص، مع الضغط بقوة. قم بإزالة الورقة، ثم قم بتمرير الحروف، إذا لزم الأمر. قم بطلاء الحروف بطلاء الأكريليك. دع الطلاء يجف,1,"ب

الشرح:
الخ",1,1
21,كيفية تشغيل السيارة ذات ناقل الحركة الأوتوماتيكي.,تأكد من وجوده في وضع الوقوف، وأدخل المفتاح في الإشعال، ثم قم بلف مفتاح الإشعال لبدء تشغيل السيارة، ثم حرر المفتاح مباشرة بعد ذلك، فالسيارة تعمل الآن.,تأكد من وجوده في وضع الوقوف، وأدخل المفتاح في مفتاح التشغيل، ثم قم بلف مفتاح الإشعال لبدء تشغيل السيارة، ولا تحرر المفتاح بعد ذلك مباشرة، فالسيارة تعمل الآن.,0,"أ

الشرح:
الخيار",0,1
234,إنشاء قناع المحرك,لإنشاء قاعدة القناع، استخدمي سلك الدجاج لتشكيل الشكل. ضع مخطط القناع أعلى الشبكة بحيث يكون موازيًا لحبيبات الشبكة، واستخدم قلمًا حادًا للتتبع حول المخطط التفصيلي. قطع الشكل. قم بتشكيل القناع بعناية، مع إضافة منحنيات إلى الحواف التي تريدها. لتشكيل القناع على وجهك، أمسكي الشبكة أمام وجهك بأصابع السبابة مباشرة فوق العينين. اضغطي على الشبكة على وجهك، مع عمل فجوات في مكان عينيك، وتشكيلها على حافة أنفك، وتقويسها حول جبهتك وخديك.,لإنشاء قاعدة قناعك، استخدم شبكة النحت لتشكيل الشكل. ضع مخطط القناع أعلى الشبكة بحيث يكون موازيًا لحبيبات الشبكة، واستخدم قلمًا حادًا للتتبع حول المخطط التفصيلي. قطع الشكل. قم بتشكيل القناع بعناية، مع إضافة منحنيات إلى الحواف التي تريدها. لتشكيل القناع على وجهك، أمسكي الشبكة أمام وجهك بأصابع السبابة مباشرة فوق العينين. اضغطي على الشبكة على وجهك، مع عمل فجوات في مكان عينيك، وتشكيلها على حافة أنفك، وتقويسها حول جبهتك وخديك.,1,"أ

الشرح:
الخ",0,0
252,كيف يتم التصميم على الجلد؟,استخدم الطوابع المتوفرة بتصميمات مختلفة للتتبع على الجلد.,استخدم الطوابع المتوفرة بتصميمات مختلفة لتكوين بصمة على الجلد.,1,"أ)

الشرح:",0,0
752,كيف يمكنك تجربة شيء ما؟,استخدامه.,اختبرها.,1,"أ

الشرح:
الخيار",0,0
911,كيفية تنعيم حواف الأوراق الخشبية.,قم بتشغيل أداة دريميل على الحواف الحادة للورقة.,قم بتشغيل المنشار على الحواف الحادة للورقة.,0,"أ)

الشرح:",0,1
1421,منع البالون من الظهور بسهولة.,أضيفي طبقة من مثبتات الشعر بعد نفخها.,أضيفي طبقة من مثبتات الشعر قبل نفخها.,0,"ب

الشرح:
ب)",1,0
822,لإزالة المسمار من اللوحة،,ضع طرف مفك البراغي في الجزء العلوي من المسمار وقم بلفه في اتجاه عقارب الساعة,ضع طرف مفك البراغي في الجزء العلوي من المسمار وقم بلفه في اتجاه عكس اتجاه عقارب الساعة,1,"ب

الشرح:
لتخ",1,1
781,لبشر الزبدة لاستخدامها في المعجنات دون ذوبان الزبدة.,عند تحضير المعجنات، قومي بتجميد كمية الزبدة التي تحتاجينها في الفريزر، بجانب مبشرة صندوقية معدنية. عندما تجمد، اعمل بسرعة واستخدم أكبر الثقوب في المبشرة لبشر الزبدة إلى شرائح رفيعة على طبق. إذا لزم الأمر، ضع الطبق مرة أخرى في الثلاجة لتجميد الزبدة حتى تصبح صلبة.,عند تحضير المعجنات، قومي بتجميد كمية الزبدة التي تحتاجينها في الفريزر، بجانب قطاعة معدنية. عندما تجمد، اعمل بسرعة واستخدم أكبر الثقوب في المبشرة لبشر الزبدة إلى شرائح رفيعة على طبق. إذا لزم الأمر، ضع الطبق مرة أخرى في الثلاجة لتجميد الزبدة حتى تصبح صلبة.,0,"أ

الشرح:
الخ",0,1
1170,طبق الحلوى,يمكن استخدامها لتخزين لوازم الخياطة,يمكن استخدامها لتخزين السجاد,0,"أ

الشرح:
الخ",0,1
1219,طريقة عمل توست الفول والنعناع,قم بطهي حبة فول مدمس مقشرة في ماء مغلي مملح لمدة دقيقتين؛ يُصفى ويُبرد في الماء المثلج، ثم يُقشر. اهرس في محضرة الطعام مع ثلث كوب زيت زيتون، و3 ملاعق كبيرة من النعناع المفروم، وملعقتين كبيرتين من البيكورينو المبشور، وملعقتين صغيرتين من عصير الليمون. يتبل بالملح والفلفل. يُوزّع على 4 شرائح من خبز الزيتون المحمص. قمة مع المزيد من البيكورينو والنعناع.,يُطهى كوبًا واحدًا من الفول المدمس المقشر في الماء المغلي المملح لمدة دقيقتين؛ يُصفى ويُبرد في الماء المثلج، ثم يُقشر. اهرس في محضرة الطعام مع ثلث كوب زيت زيتون، و3 ملاعق كبيرة من النعناع المفروم، وملعقتين كبيرتين من البيكورينو المبشور، وملعقتين صغيرتين من عصير الليمون. يتبل بالملح والفلفل. يُوزّع على 4 شرائح من خبز الزيتون المحمص. قمة مع المزيد من البيكورينو والنعناع.,1,"أ

الشرح:
الخ",0,0
1063,كيف تعالجين الوجه الجاف؟,ضع الماء فوقه.,استخدام المرطب في المنزل.,1,"ب

الشرح:
الخيار",1,1
285,لتجفيف أوراق نبات القراص اللاذع لاستخدامها في المستقبل.,ضعها على طاولة الفناء.,ضعه في مكان جاف مع تدفق الهواء,1,"ب

الشرح:
الخيار",1,1
1224,لتخفيف آلام القرحة من خلال مادة طبيعية،,بلع كوب من الماء الممزوج بالملح والخل والصابون.,ابتلع بضعة ملاعق من العسل عندما تشعر بالتهاب في الحلق.,1,"ب

الشرح:
الخيار",1,1
1016,لإنشاء عقدة ذات نهايات متطابقة لعقدة الحبل.,قم بطي الحبل إلى النصف بحيث يكون كلا الجانبين متساويًا.,اقطع الحبل إلى نصفين بحيث يكون كلا الجانبين متساويًا.,0,"أ)

الشرح:",0,1
279,كيف تحصل على ملفات تعريف الارتباط الرائعة,قم بتبريد عجينة البسكويت قبل الخبز,تسخين عجينة البسكويت قبل الخبز.,0,"أ)

الشرح:
ي",0,1
921,طريقة عمل صلصة تروبيكال ستورم في المنزل.,اخلطي 1 كوب قشر المانجو، 1 كوب زيت الأناناس، 1/2 كوب زيت جوز الهند، 3/4 كوب ماء، 1 كوب سكر ويقلب على نار متوسطة على الموقد لمدة 30 دقيقة.,اخلطي كوبًا واحدًا من المانجو المقطعة، وكوبًا من الأناناس المفروم، ونصف كوب من جوز الهند المفروم، و3/4 كوب ماء، وكوبًا من السكر، ثم حركيه على نار متوسطة على الموقد لمدة 30 دقيقة.,1,"ب

الشرح:
الخ",1,1
1661,كيف يمكنني تنظيف حذاء التنس الخاص بي؟,ضعي معجون الأسنان على فرشاة أسنان قديمة، ثم ضعي المعجون على باطن الحذاء المتسخ، ثم اتركي المعجون على الحذاء لمدة عشر دقائق تقريباً، ثم امسحيه بمنشفة مبللة. تكرار هذه العملية إذا لزم الأمر.,ضعي معجون الأسنان على فرشاة أسنان قديمة، ثم ضعي المعجون على البقع المتسخة، ثم اتركي المعجون على الحذاء لمدة عشر دقائق تقريباً، ثم امسحيه بمنشفة مبللة. تكرار هذه العملية إذا لزم الأمر.,1,"ب

الشرح:
الخيار",1,1
1108,رسم تصميم على شفرة جزازة العشب استعداداً لتحويلها إلى رأس حربة.,استخدم قلم تلوين لرسم التصميم على شفرة جزازة العشب المعدنية.,استخدم شاربي لرسم التصميم على شفرة جزازة العشب المعدنية.,1,"ب)

الشرح:",1,1
1273,طريقة عمل تارت الشمر في المنزل.,يُمزج نصف كوب من شرائح التين، 8 أكواب شمر مقطع، 1/3 كوب سكر، 1 ملعقة كبيرة. نضع الزبدة ثم نضعها في قشرة التارت غير المخبوزة ونخبزها لمدة 18 دقيقة. في فرن على حرارة 375 درجة، قومي بفحصها وإزالتها عندما تحمر.,يُمزج نصف كوب من شرائح التين، 1/8 كوب شمر مقطع، 1/3 كوب سكر، 1 ملعقة كبيرة. نضع الزبدة ثم نضعها في قشرة التارت غير المخبوزة ونخبزها لمدة 18 دقيقة. في فرن على حرارة 375 درجة، قومي بفحصها وإزالتها عندما تحمر.,1,"أ

الشرح:
الخ",0,0
377,علاج الأنف الجاف.,ضعي الفازلين خارج الأنف.,ضعي الفازلين داخل الأنف.,0,"ب

الشرح:
الف",1,0
1184,أعد تسخين الأرز,ننقع الأرز في الماء، ونضعه في الميكروويف.,ضعي مكعبات الثلج على الأرز ثم ضعيها في الميكروويف.,1,"أ)

الشرح:",0,0
294,كيفية تطبيق لوشن تسمير البشرة,افركي كريم تسمير البشرة في ثوب السباحة بحرية.,افركي كريم تسمير البشرة على البشرة بحرية.,1,ب) افركي كريم تسم,1,1
772,"لحصاد الكرنب من النبات,",خذ مقصًا واقطع أوراق الكرنب المرغوبة من النبات بالقرب من الجذع قدر الإمكان,خذ مقصًا واقطع أوراق الكرنب المرغوبة من النبات بعيدًا عن الجذع قدر الإمكان,0,"أ)

الشرح:",0,1
