row_idx,question,sol1,sol2,sol3,sol4,gold_label_idx,pred_text,pred_label_idx,correct
636,يريد الطلاب رفع درجة حرارة الماء في جرة زجاجية. الجرة على طاولة في ضوء الشمس الكامل. أسرع طريقة لزيادة درجة الحرارة دون استخدام الأسطوانة الساخنة هي وضع,قشة في الماء.,غلاف بلاستيك شفاف حول الزجاج.,ميزان حرارة في الماء.,مادة سوداء حول الزجاج.,3,ب) غلاف بلاستيك,1,0
36,ما هو العنصر الذي يمكن إعادة استخدامه بأمان بعد التحقيق؟,أدوات زجاجية استخدمت لتسخين السوائل,ورق الترشيح المستخدم لتصفية الماء,مناشف الورق المستخدمة لامتصاص الماء,المواد المسحوقة المنظفة من التسرب,0,د) المواد المسحوقة,3,0
723,ما الذي يصف التغيير الذي هو جسدي أكثر بدقة؟,تحول خيوط الصوف إلى سترة,تشغيل محرك الجرار,تآكل المعدن على الدراجة وتكون الصدأ,امتصاص العشب للطاقة من أشعة الشمس,0,ج) تآكل المعدن,2,0
242,ما هو التشابه بين خلية الجلد لفأر والأميبا؟,كلاهما يحتاج إلى طاقة.,كلاهما ليس لديهما جدران خلوية.,كلاهما يتحركان باستخدام الأوبائيات الزيفية.,كلاهما يستهلكان ثاني أكسيد الكربون.,0,ج) كلاهما يتح,2,0
943,ما هي التحقيق الأفضل لاختبار تأثير الجاذبية على الأجسام المتحركة؟,أقلام الرصاص تسقط من نفس الارتفاع,بالونات تطفو لأعلى من نفس الارتفاع,دراجة تسرع على سطح مستوٍ,كرة تبطئ على سطح مستوٍ,0,أ) أقلام الرصاص تس,0,1
504,ما هي الاستراتيجية التي يتبعها الجسم لتخفيف الحرارة وتبريد الجسم خلال وبعد ممارسة التمارين الرياضية؟,يتم إفراز مواد كيميائية تدل على العطش.,تقوم العضلات بإنتاج حمض اللاكتيك.,يزداد معدل التنفس.,تحدث التعرق.,3,د) تحدث التعرق.,3,1
350,يقوم الطلاب بدراسة عملية التمثيل الضوئي في النباتات. ما هو منتج التمثيل الضوئي من بين ما يلي؟,ثاني أكسيد الكربون,النيتروجين,كلوريد الصوديوم,السكر,3,"د) السكر

الشرح",3,1
642,يكتشف العالم أن مادة معينة ستكون مفيدة في علاج تلف الأعصاب. ما هو أفضل طريقة يمكنها استخدامها للتواصل مع المجتمع العلمي؟,يمكنها الاتصال بعلماء آخرين يعملون أيضًا في بحث الأعصاب.,يمكنها كتابة رسالة إلى المستشفيات التي تعالج المرضى الذين يعانون من تلف الأعصاب.,يمكنها وضع استنتاجاتها على موقع إلكتروني يركز على الجهاز العصبي.,يمكنها نشر نتائج بحثها في مجلة علمية تغطي المسائل المتعلقة بالأعصاب.,3,د) يمكنها نشر نتائج,3,1
936,يمتلئ الكأس جزئيًا بالماء. يتم وضع خمس مكعبات ثلج في الكأس، مما يؤدي إلى وصول مستوى الماء إلى حافة الكأس. أيٌّ من العبارات التالية يشرح زيادة مستوى الماء بشكلٍ أفضل؟,حجم الثلج المغمور يساوي حجم الماء المحاصر.,كتلة الماء في الكأس أقل من كتلة الثلج.,وزن الثلج أقل من وزن الماء في الكأس.,كثافة الماء في الكأس أعلى من كثافة الثلج.,0,أ) حجم الثلج الم,0,1
542,ما هو الخاصية الأكثر احتمالاً أن تتعلمها الكلب من بيئته؟,حاسة بصر حادة,التسول عند الطعام,القدرة على الجري بسرعة,السباحة في الماء,1,ب) التسول عند الطعام,1,1
411,تحت أي ظروف يذوب مكعب السكر بسرعة عندما يُوضع في لتر من الماء عند درجة حرارة الغرفة؟,يتم إضافة مكعب السكر كاملاً ويتم تحريك الماء.,يتم إضافة مكعب السكر كاملاً ولا يتم تحريك الماء.,يتم إضافة مكعب السكر المكسور ويتم تحريك الماء.,يتم إضافة مكعب السكر المكسور ولا يتم تحريك الماء.,2,ج) يتم إضافة مكعب الس,2,1
1121,جميع الموارد الطبيعية على الأرض إما متجددة أو غير متجددة. سواء كانت المورد متجددة أو غير متجددة يعتمد على مدى سرعة إعادة تعويض المورد. إذا تم استخدام الموارد بسرعة أكبر من التعويض، فإن المورد سيختفي مع الوقت. ما هي النشاط الذي يدل على استخدام مورد طبيعي غير متجدد؟,يسبح مجموعة من الناس في النهر.,تبني فريق البناء جسرًا من الحديد.,يزرع المزارع الخضروات لبيعها في السوق المحلية.,يخبز الشخص كعكة باستخدام الكهرباء التي تنتجها محطة توليد كهرومائية.,1,ب) تبني فريق البناء,1,1
137,ما هي العبارة التي تعبر عن رأي حول القلب؟,الدور الأساسي للقلب هو تحريك الدم في الجسم.,الغرض من القلب هو مساعدة الأنشطة الرياضية.,معدل دقات القلب يمكن أن يتغير طوال اليوم.,القلب مؤلف من أنواع مختلفة من الخلايا.,1,ب) الغرض من القلب هو,1,1
1076,قام فصل بامتحان كمية فيتامين (ج) في عصير البرتقال الطازج وقام بحساب كمية مختلفة عن الفصل السابق الذي أجرى نفس التحقيق. ما هي الخطوة الأكثر احتمالا للتأكد من دقة نتائجهم؟,جرب عصير مختلف,تحليل البيانات المسجلة,اسأل عالما من الخبراء ما الخطأ الذي وقع,أعد التحقيق مرتين أخريين,3,د) أعد التحقيق مرت,3,1
89,ما هو العضو الذي له نفس وظيفة الرئتين في جسم السمك من بين العضوين التاليين؟,الكلى,القلب,الخيشوم,الجلد,2,"ج) الخيشوم

الش",2,1
147,الجهاز البسيط يجعل العمل أسهل لأن استخدامه ___.,يستخدم قوة أقل لتحريك شيء ثقيل,يغير وزن شيء ثقيل,يحسن مظهر شيء ما,يسمح لشيء بأن يصبح شكلًا مختلفًا,0,أ) يستخدم قوة أقل لتح,0,1
834,ما هي الخط الأول في جسم الإنسان للدفاع ضد العدوى والأمراض؟,الجلد,الفيتامينات,الكريات الحمر,الكريات البيض,0,"أ) الجلد
ب) الفي",0,1
110,ما هي حقيقة عن البطاريق؟,يمكن للبطاريق العيش في مناخات ذات درجات حرارة منخفضة.,البطاريق منافسون شرسون.,البطاريق من أجمل الطيور.,البطاريق ليست حيوانات أليفة جيدة.,0,"أ)

الشرح:",0,1
35,عدد قليل من الزهور قادر على النمو في التدرج القطبي الشمالي. تلك التي تنمو هناك لديها أعناق قصيرة للغاية. كيف يعد هذا تكيفًا لمساعدتهم على البقاء على قيد الحياة في المناخ القطبي؟,يحميهم من التجمد.,يمنعهم من الأكل عند المستهلكين.,يحميهم من الكسر في الرياح القوية.,يجعل من الصعب جدًا سحبها من الأرض.,2,ج) يحميهم من الك,2,1
403,السيارات الكهربائية مكلفة في التملك، ولا تتوفر محطات شحن بسهولة. على عكس السيارات التي تعمل بالوقود الأحفوري، السيارات الكهربائية لا تنتج ثاني أكسيد الكربون عند القيادة. ما هو التفسير الأفضل لسبب اختيار الأشخاص لاستخدام هذه التقنية؟,التقنية هي تقدم علمي.,السيارات الكهربائية تخزن الطاقة في البطاريات.,التقنية صديقة للبيئة.,الجميع يحصل على سيارة كهربائية.,2,ج) التقنية صديقة لل,2,1
214,السبب الرئيسي وراء الانجراف القاري والزلازل والثورانات البركانية هو,تيارات الحمل تحت قشرة الأرض,دوران الأرض على محورها,الغرق التدريجي لقشرة الأرض,تسخين الأرض بواسطة الشمس.,0,أ) تيارات الحمل تحت ق,0,1
583,يمكن أن تتسبب الأمطار الغزيرة في التدفق السريع للتربة في الاتجاه الهابط. ما هو هذا التغيير المسمى؟,إعصار,فيضان,انزلاق تربي,زلزال,2,ج) انزلاق تربي,2,1
402,بعض الحيوانات تعيش في السهول العشبية. يحرق حريق السهول العشبية. أي نوع من الحيوانات سيتنافس بشكل أفضل على الموارد بعد الحريق؟,تلك التي تأكل اللحوم,تلك التي تستخدم النباتات كمأوى,تلك التي تعيش تحت الأرض,تلك التي تبني أعشاشًا على الأرض,2,ج) تلك التي تعيش تحت,2,1
926,يقوم العالم بتكرار التحقيق الذي يجريه العديد من المرات قبل اتخاذ الخاتمة النهائية. ما هو السبب الأفضل الذي يشرح لماذا يكرر العالم التحقيق؟,التكرار المطلوب لإثبات فرضية.,التكرار المطلوب لنشر الاستنتاج.,التكرار يضمن دقة البيانات المحصلة.,التكرار يساعد العلماء على البقاء موضوعيين في الملاحظات.,2,ج) التكرار يضمن,2,1
1164,عند اشتعال مزيج من الأكسجين والهيدروجين في أنبوب اختبار، يحدث التفاعل الموضّح. الهيدروجين + الأكسجين -> ماء + طاقة. ماذا يحدث لإجمالي كتلة محتويات الأنبوب؟,الكتلة الإجمالية تزداد.,الكتلة الإجمالية تنخفض.,الكتلة الإجمالية تبقى كما هي.,جزء من الكتلة يتحول إلى طاقة حرارية.,2,د) جزء من الكتلة,3,0
643,درس العلماء إنتاجية المحاصيل في وديان الجبال. في بعض المناطق، تكون الوديان أكثر إنتاجية من غيرها. العامل الذي يرجح أن يكون هو السبب الأساسي للإنتاجية العالية في بعض مناطق وديان الجبال هو؟,تعرية التربة,معدلات التبخر,جريان المياه الناتجة عن الأمطار,كميات الضوء الشمسي,2,ج) جريان المياه النات,2,1
25,ما هي كتلة ذرة الكربون التي تحتوي على 6 بروتونات و 7 نيوترونات و 6 إلكترونات؟,6,7,13,19,2,"ج) 13

الش",2,1
683,ما هي الطاقة المتجددة البديلة التي تستخدم بشكل كبير مثل الفحم؟,الطاقة الجيوثيرمالية,الطاقة النووية,الطاقة الكهرومائية,الوقود الحيوي,3,ج) الطاقة الكهرومائية,2,0
885,ما هو العملية الأكثر احتمالاً لقبول الفرضية العلمية؟,تكرار نتائج التجربة,مراجعة الفرضية الأولية,تطوير نظرية بناءً على البيانات,تغيير إجراءات التجربة,0,أ) تكرار نتائج التج,0,1
468,يود الطلاب معرفة حجم أوراق شجرة البلوط. أفضل طريقة لقياس حجم الأوراق هي ___.,قراءة قصة,استخدام مسطرة,تقطيع بعض الأوراق,استخدام عدسة مكبرة,1,ب) استخدام مسطرة,1,1
1125,ما هي المجموعة في الجدول الدوري التي تحتوي على العناصر الأقل تفاعلية؟,المجموعة 1 (1A),المجموعة 3 (3B),المجموعة 16 (6A),المجموعة 18 (8A),3,د) المجموعة 18,3,1
93,إذا توقفت الخلية العصبية عن العمل، فالخلية ست,تبدأ في إنتاج الأكسجين,تبدأ في التقسيم إلى خلايا أكثر,تصبح نوعًا مختلفًا من الخلايا,تتوقف عن إرسال الإشارات إلى الدماغ,3,د) تتوقف عن إرسال,3,1
1137,ما هو الحقيقة التي تفسر بشكل أفضل سبب حدوث معظم التبخر في المحيطات؟,مياه المحيط مالحة.,هناك سلاسل جبلية في قاع المحيط.,حوالي 97 في المائة من مياه الأرض هي مياه محيطية.,أقل كمية من الغيوم تمنع وصول أشعة الشمس على سطح المحيط.,2,ج) حوالي 97 في,2,1
629,كم عنصرًا في المركب Mg(OH)₂؟,2,3,4,5,1,"ج) 4

الشرح",2,0
437,يتم ارتداء الكهربائيين للأحذية والقفازات المطاطية أثناء العمل على الدوائر الكهربائية. السبب الرئيسي لذلك هو لأن,المطاط يستخدم كمرسل.,المطاط يساعد في تأريضهم.,المطاط هو غير موصل.,المطاط هو موصل.,2,ج) المطاط هو غير مو,2,1
370,ما الذي يدل على التحول الكيميائي؟,كسر الزجاج,صدأ سلة المهملات,ذوبان السكر في الماء,تبخر الماء من الرصيف,1,ب) صدأ سلة المهم,1,1
1083,ما هما التغيرات البيئية اللتان تسببان عادة هجرة بعض الحيوانات؟,تغيير الموسم وقلة المفترسين,تغيير الموسم ونقص الغذاء,فقدان الموائل وقلة المفترسين,فقدان الموائل وزيادة الغذاء,1,ب) تغيير الموسم ونقص الغ,1,1
1078,تم تسخين مادة ما. في البداية تمددت المادة، ثم ذابت. ما هو حالة المادة التي بدأت بها؟,غاز,صلب,سائل,بلازما,1,"ب) صلب

الشرح",1,1
1082,يتم زراعة بعض أنواع الأسماك المعروضة للبيع في محلات البقالة في مزارع الأسماك. عند بناء المزيد من مزارع الأسماك، أي مجموعة من المجموعات التالية هي الأكثر تضررًا؟,أصحاب محلات البقالة,سائقو الشاحنات الذين يقلون الأسماك,أصحاب متاجر بيع الأسماك المستخرجة من البحر,عمال البناء الذين يقومون ببناء المزارع,2,ج) أصحاب متاجر,2,1
378,عندما يدور المكوك الفضائي حول الأرض ويعود إلى الأرض، تواجهه قوة تعارض حركته. ما هي مصدر القوة المعارضة؟,الاحتكاك من الغلاف الجوي,سرعة المكوك,كتلة المكوك,الجاذبية من الأرض,0,أ) الاحتكاك من الغ,0,1
103,ما هي الصفة التي تصف طبيعة جميع موجات الضوء؟,طولية,عرضية,ضاغطة,مغناطيسية,1,"ب) عرضية

الشرح",1,1
1013,تحت أي ظرف ستكون التكيفات المساعدة التي تسمح لليرقات بالمرور بفترة قصيرة من التحول مفيدة؟,عندما يحتاج اليرقات إلى السباحة على الفور,عندما يكون هناك كمية محدودة من الماء في بيئتهم,عندما يحدث انخفاض في عدد الحيوانات المفترسة,عندما يحتاج اليرقات للدمج مع بيئتها المحيطة,1,ج) عندما يحدث انخفاض,2,0
932,تأتي الغاز والنفط من رواسب البترول العميقة داخل الأرض. ما الذي تسبب في تكوّن هذه الرواسب؟,تم حل الصخور بواسطة الماء.,تم إيداع الحمم البركانية ثم تبريدها.,تم الامساك ببقايا النباتات والحيوانات.,تمت مزج الهواء والماء والمعادن معًا.,2,ج) تم احتجاز ب,2,1
50,ما الذي يصف صفة 12 المشتركة بين الأرض والقمر؟,لديهما تقريبًا نفس الغلاف الجوي.,لديهما تقريبًا نفس الجاذبية.,لديهما قشرة صخرية تشمل جبالًا.,لديهما مناطق تظهر بها تآكل كبير للمياه.,2,ب) لديهما تقريب,1,0
1069,من بين التالي، أي منها يحتوي على مجموعة تضم فقط الأجسام التي تلمع نتيجة انعكاس الضوء؟,الأقمار والكواكب والمذنبات,الأقمار والمذنبات والنجوم,الكواكب والنجوم والمذنبات,الكواكب والنجوم والأقمار,0,ج) الكواكب والنج,2,0
998,ما هو السبب الأكثر احتمالاً لأن استخدام الطاقة المستمدة من الرياح يكون أفضل لجودة الهواء من حرق الوقود الأحفوري؟,معدات استخدام الرياح غير مكلفة,الرياح تنتج أقل قدر من التلوث مقارنة بالوقود الأحفوري,يسهل تخزين الطاقة المستمدة من قوة الرياح,الرياح أكثر كفاءة من الوقود الأحفوري,1,ب) الرياح تنتج,1,1
1110,في عملية التصميم، يحدث تضاد عندما يتم حل مشكلة لكن يتم التضحية بميزة. ما هو مثال على التضاد التالي؟,يتم زيادة كفاءة استهلاك الوقود في السيارة ولكن يقل قوة المحرك.,تستخدم الطائرة محركًا أكثر كفاءة ولديها أداء أعلى.,يتم تحسين طعم المشروب الرياضي ويظل لديه نفس المحتوى الغذائي.,تقوم شركة الكمبيوتر بترقية الأجهزة والسعر يبقى دون تغيير.,0,أ) يتم زيادة كفاءة,0,1
722,دراجة هوائية تسير بسرعة 3 أمتار في الثانية الواحدة (م / ث). يضع الراكب الفرامل ويتوقف الدراجة في غضون 3 ثوانٍ. ما هو متوسط ​​معدل التسارع للدراجة خلال هذا الوقت؟,-1 م / ث²,-6 م / ث²,3 م / ث²,9 م / ث²,0,أ) -1 م / ث,0,1
1143,يُعَدّ ضوء الشمس المستخدم لتسخين المياه بالطاقة الشمسية مصدرًا يجب أخذه بعين الاعتبار بوصفه,اصطناعيًا.,متجددًا.,لا يُنَفَّذُ.,غير متجدد.,2,ب) متجددًا.,1,0
1165,أحد الأراضي المرتفعة يتكون على الأرجح من,تصريف من نهر.,تعرية بواسطة الأمواج.,تأريخ الحطام الصخري.,تراكم الحمم المبردة.,3,د) تراكم الحمم الم,3,1
526,كان فصل يتعلم عن نمط النهار والليل على الأرض. ما هي الجزء من الأرض الذي تعاني من الليل في نفس الوقت؟,أقل من 1/4,حوالي 1/2,حوالي 3/4,تقريبًا كلها,1,ب) حوالي 1/2,1,1
536,شخص يركب في عجلة فوضوية متحركة يتغير باستمرار,الكتلة.,السرعة.,القوة الصافية.,معدل الدوران.,2,ج) القوة الصافية.,2,1
136,الزنك هو معدن يساعد,في الحفاظ على توازن الماء في الخلايا.,في منع تسوس الأسنان.,في شفاء الجروح والخدوش.,في نقل الأكسجين في الدم.,2,ب) في منع تسوس الأس,1,0
267,شعر شون بانخفاض حرارة الغرفة. يقوم جسده بالتكيف لكي يتمكن من البقاء على قيد الحياة. ما هي الاستجابة التي قام شون بها والتي سمحت لجسده بالاستمرار في العمل بشكل صحيح؟,زيادة في عملية التنفس الخلوي الذي يزيد من إنتاج الحرارة,التعرق من الجلد لخفض درجة الحرارة الداخلية,فتح الشعيرات الدموية في الجلد للحصول على المزيد من الحرارة,زيادة في عملية الأيض الذي يقلل من حرارة الخلايا,0,أ) زيادة في عملية التنفس,0,1
120,متى تبدأ الأعضاء والأنظمة الحيوية في التطور لدى الإنسان؟,قبل التخصيب,قبل الولادة,خلال الطفولة,خلال البلوغ,1,"ب) قبل الولادة

الش",1,1
348,تقوم جيزيل بصنع نموذج باستخدام كرات رغوية لتمثيل الأحداث في الكسوف الشمسي. لتوضيح هذه الظاهرة بشكل أفضل، يجب أن يتميز نموذج الكرة الرغوية بأي خاصية من هذه الخيارات؟,القدرة على الدوران حول الكرة المركزية,مغناطيس في كل كرة,تمثيل المحيطات على كل كرة,مصدر للطاقة الحرارية,0,أ) القدرة على الدوران,0,1
647,ما هي الذي لن تؤثر على التغيرات المناخية العالمية بشكل كبير؟,إنتاج الطاقة باستخدام محطات الطاقة الكهرومائية,إنتاج الطاقة باستخدام الفحم,إنتاج الطاقة باستخدام النفط,إنتاج الطاقة باستخدام الغاز الطبيعي,0,أ) إنتاج الطاقة باستخدام محط,0,1
160,ما الذي يمكن العثور عليه في الأرض والقمر معًا؟,التلال,الغلاف الجوي الكثيف,العواصف الرعدية,المحيطات,0,"أ) التلال

الشرح",0,1
392,من بين ما يلي، الذي من المحتمل أن يتسبب في أن يكون النواة الداخلية للأرض صلبًا؟,الضغط في المركز عال جداً.,المعادن في النواة ثقيلة جداً.,درجة حرارة النواة منخفضة جداً.,المواد الكيميائية في النواة يمكن أن تتفاعل بشدة.,0,أ) الضغط في المركز عال,0,1
900,عندما يكون الهواء البارد في قمم الجبال، يتدفق الهواء,نحو المناطق التي لديها ضغط أقل في الأودية.,نحو المناطق التي لديها ضغط أعلى في الأودية.,يعتبر أقل كثافة من الهواء الدافئ.,يعتبر خاليًا من ذرات الأكسجين.,0,ب) نحو المناطق التي لديها,1,0
1106,تحقق تانيا من الأشياء المنزلية التي تجذب المغناطيس. ما الذي سيساعدها في وضع استنتاج؟,توقعات,فرضية,قائمة اللوازم,جدول النتائج,3,"ب) فرضية

الشرح",1,0
518,تمكن مسافة الأرض عن الشمس وجود الماء بشكل سهل للكائنات الحية. ما هو الخاصية الأكثر أهمية لهذه الكائنات في الماء؟,قدرتها على التجمد,السعة الحرارية النوعية لها,قدرتها على الوجود كسائل,شدة انسيابها السطحي العالية,2,ج) قدرتها على الوجود,2,1
109,درس الطلاب ثورة الأرض حول الشمس. خلال أي شهر ستكون في فلوريدا أكبر كمية من الطاقة الشمسية المتاحة؟,مارس,يونيو,سبتمبر,ديسمبر,1,"ب) يونيو

الشرح:",1,1
1135,تتغير وزن الجسم في أماكن مختلفة على الأرض. ما هي وحدة القياس للوزن؟,20 مللي لتر,16 نيوتن,45 متر,90° مئوية,1,ب) 16 نيوت,1,1
307,بعض الحيوانات قد تكيفت بألوان وأنماط تسمح لها بالاندماج في بيئتها. الحيوانات احتمل تكيّف هذه الصفة لـ,التبريد.,البقاء مختفية.,جذب الشركاء.,حماية الجلد.,1,ب) البقاء مختفية.,1,1
874,من بين هذه، ما هو الأسرع في تكوين تربة جديدة؟,سجل يتعفن في غابة.,ماء يجري في جدول مائي.,صخرة تقع في حديقة.,الأمواج تتكسر على الشاطئ.,0,أ) سجل يتعفن,0,1
715,ما هو نوع الخلية المتصلة بألياف العضلات لتسهيل التحكم في العضلة؟,عصبية,هيكلية,دورانية,تنفسية,0,"أ) عصبية

الش",0,1
87,ينزل الطالب جسم على الرصيف الإنحداري. يذكر الطالب أن الاحتكاك يسبب الانزلاق البطيء للجسم. يمكن سبب الحركة البطيئة الأخرى هو أن,ميل الرصيف صغير.,سطح الرصيف ناعم.,الجسم دائري ومصقول.,الجاذبية على الجسم ضعيفة.,0,أ) ميل الرصيف صغير,0,1
880,من عام إلى آخر، يقوم المزارعون بتبديل المحاصيل المختلفة في الحقول لتحسين مغذيات التربة. لماذا تعتبر دورة الزراعة أيضًا طريقة فعالة لإدارة الآفات؟,تتيح للمواد الكيميائية القضاء على المزيد من الآفات.,تنتج محاصيل ذات مقاومة للآفات.,تقاطع دورات حياة الآفات.,تتيح للآفات التكاثر بكثرة.,2,ج) تقاطع دورات,2,1
588,ما هو الوصف الأفضل لكيفية تفاعل الجهازين الدوراني والتنفسي للإنسان؟,يزيل القلب النفايات المتراكمة في الرئتين.,يدخل الأكسجين إلى الدورة الدموية مباشرة من الأنف.,يتم نقل الأكسجين إلى الدورة الدموية عندما يمر الدم بجانب الرئتين.,يضخ القلب الهواء إلى الدم عبر الرئتين.,2,ج) يتم نقل الأكسجين,2,1
318,عندما تتحرك مجموعة من الحيوانات على مسافة طويلة إلى منطقة أخرى من أجل البقاء على قيد الحياة يسمى هذا,التكاثر.,السبات.,الهجرة.,التنقل.,2,"ج) الهجرة.

الش",2,1
114,في الصيف، يشع الشمس مباشرة على نقاط مختلفة في الأرض وتدور الأرض. في أي وقت من اليوم تكون الشمس في أعلى نقطة لها في سماء ماين في الصيف؟,6:00 صباحًا,10:00 صباحًا,1:00 بعد الظهر,3:00 بعد الظهر,2,ج) 1:00,2,1
944,من بين الحيوانات التالية، ما هي التي كانت على الأرض لفترة أطول؟,البشر,الطيور,الأسماك,الزواحف,2,"ج) الأسماك

الش",2,1
711,اخذت جو آن كأساً كبيرًا من الماء النظيف وأضافت قطرة واحدة من صبغة الطعام الزرقاء بحذر إلى حافة سطح الماء. لم تلمس أو تحرك الكأس. في البداية ، رأت خطوطاً زرقاء بينما تغلغلت صبغة الطعام في الماء ، ولكن تدريجياً أصبح لون الكأس الكامل من الماء أزرقًا بالتساوي. ما الذي تسبب في اختلاط صبغة الطعام الزرقاء في جميع أنحاء الماء؟,تصادم جزيئات الماء مع جزيئات صبغة الطعام كان السبب في الاختلاط.,الضوء الساطع على سطح الماء كان السبب في الاختلاط.,حدث تفاعل كيميائي بين الماء وصبغة الطعام شكل مركبًا جديدًا باللون الأزرق الفاتح.,تفاعل الماء مع صبغة الطعام مما تسبب في تلاشي اللون الأزرق.,0,أ) تصادم جزي,0,1
779,ما هي وظيفة السيقان بالنباتات؟,امتصاص الماء,إنتاج الطعام,توفير الدعم,جذب الملقحين,2,ج) توفير الدعم,2,1
