row_idx,question,passage,gold_answer_bool,pred_text,pred_answer_bool,correct
1775,هي بطاقة ترخيص العمل البطاقة الخضراء,"يتم حاليًا إصدار وثيقة ترخيص التوظيف للنموذج I-765 في شكل بطاقة بلاستيكية قياسية بحجم بطاقة الائتمان معززة بميزات أمان متعددة. تحتوي البطاقة على بعض المعلومات الأساسية عن الأجنبي: الاسم، وتاريخ الميلاد، والجنس، وفئة المهاجرين، وبلد الميلاد، والصورة، ورقم تسجيل الأجنبي (يُسمى أيضًا ""رقم A"")، ورقم البطاقة، والشروط والأحكام المقيدة، و تواريخ الصلاحية. ومع ذلك، لا ينبغي الخلط بين هذه الوثيقة والبطاقة الخضراء.",0,لا.,0,1
1805,هل تقوم دار سك العملة الأمريكية بإصدار أوراق بقيمة 1000 دولار؟,تم تداول فئات كبيرة من عملة الولايات المتحدة أكبر من 100 دولار من قبل وزارة الخزانة الأمريكية حتى عام 1969. ومنذ ذلك الحين، تم إصدار الأوراق النقدية بالدولار الأمريكي فقط في سبع فئات: 1 دولار، 2 دولار، 5 دولار، 10 دولار، 20 دولارًا، 50 دولارًا، و100 دولار.,0,لا.,0,1
1594,هو ماء التناضح العكسي نفسه منزوع الأيونات,يستخدم العديد من مربي أحواض الشعاب المرجانية أنظمة التناضح العكسي لخليطهم الاصطناعي من مياه البحر. يمكن أن تحتوي مياه الصنبور العادية على كمية زائدة من الكلور أو الكلورامين أو النحاس أو النترات أو النتريت أو الفوسفات أو السيليكات أو العديد من المواد الكيميائية الأخرى الضارة بالكائنات الحية الحساسة في بيئة الشعاب المرجانية. يمكن أن تؤدي الملوثات مثل مركبات النيتروجين والفوسفات إلى نمو مفرط وغير مرغوب فيه للطحالب. يعد المزيج الفعال بين كل من التناضح العكسي وإزالة الأيونات هو الأكثر شيوعًا بين حفظة أحواض الشعاب المرجانية، ويفضل فوق عمليات تنقية المياه الأخرى نظرًا لانخفاض تكلفة الملكية وانخفاض تكاليف التشغيل. وحيثما يوجد الكلور والكلورامينات في الماء، تكون هناك حاجة إلى ترشيح الكربون قبل الغشاء، حيث أن الغشاء السكني المشترك الذي يستخدمه حفظة الشعاب المرجانية لا يتكيف مع هذه المركبات.,0,نعم.,1,0
2896,في مكان ما فوق قوس قزح أغنية حب,"بعد حوالي خمس دقائق من الفيلم، تغني دوروثي الأغنية بعد فشلها في إقناع العمة إم، والعم هنري، وعمال المزرعة بالاستماع إليها وهم يروون حادثة مزعجة تتعلق بكلبها، توتو، والعانس في المدينة، الآنسة جولتش (مارجريت هاميلتون). تطلب منها العمة إم أن تجد لنفسك مكانًا لن تواجه فيه أي مشكلة. وهذا يدفعها إلى الخروج بمفردها، متأملة في حديث توتو، «في مكان ما لا توجد فيه أي مشكلة.» هل تفترض أن هناك مثل هذا المكان، توتو؟ يجب أن يكون هناك. إنه ليس مكانًا يمكنك الوصول إليه بالقارب أو القطار. إنه بعيد جدًا. ""خلف القمر، وراء المطر...""، وعند هذه النقطة بدأت في الغناء.",0,لا.,0,1
665,هل جميع أقراص xbox 360 تعمل على xbox one؟,تلقت وحدة تحكم الألعاب Xbox One تحديثات من Microsoft منذ إطلاقها في عام 2013 والتي تمكنها من لعب ألعاب مختارة من وحدتي التحكم السابقتين، Xbox وXbox 360. في 15 يونيو 2015، أصبح التوافق مع الإصدارات السابقة مع ألعاب Xbox 360 المدعومة متاحًا للمؤهلين مستخدمو برنامج Xbox Preview مع تحديث تجريبي لبرنامج نظام Xbox One. تم إصدار تحديث لوحة المعلومات الذي يحتوي على التوافق مع الإصدارات السابقة علنًا في 12 نوفمبر 2015. وفي 24 أكتوبر 2017، أضاف تحديث آخر ألعابًا من مكتبة Xbox الأصلية. فيما يلي قائمة بجميع الألعاب المتوافقة مع الإصدارات السابقة على Xbox One ضمن هذه الوظيفة.,0,لا.,0,1
308,والكزبرة المطحونة والكمون نفس الشيء,توجد الكزبرة بشكل شائع على شكل بذور مجففة كاملة وفي شكل مطحون. تحميص البذور أو تسخينها في مقلاة جافة يزيد من النكهة والرائحة والحدة. تفقد بذور الكزبرة المطحونة نكهتها بسرعة أثناء التخزين ومن الأفضل أن تكون مطحونة طازجة. بذور الكزبرة عبارة عن توابل في جارام ماسالا والكاري الهندي والتي غالبًا ما تستخدم الثمار المطحونة بكميات سخية مع الكمون، وتعمل كمكثف في خليط يسمى دانا جيرا. تؤكل بذور الكزبرة المحمصة، والتي تسمى دانا دال، كوجبة خفيفة. إنهم المكون الرئيسي لطبقين من جنوب الهند سامبهار ورسام.,0,لا.,0,1
2708,النرويج عضو في السوق الموحدة,"تمنح اتفاقية المنطقة الاقتصادية الأوروبية النرويج إمكانية الوصول إلى السوق الموحدة للاتحاد الأوروبي. من بين 23000 قانون من قوانين الاتحاد الأوروبي المعمول بها حاليًا، أدرجت المنطقة الاقتصادية الأوروبية حوالي 5000 قانون (ساري المفعول) مما يعني أن النرويج تخضع لحوالي 21٪ من قوانين الاتحاد الأوروبي. وفقًا لوزارة الخارجية النرويجية (NOU 2012:2 ص 790، 795)، من القوانين التشريعية التي تم تنفيذها من عام 1994 إلى عام 2010، فإن 70٪ من توجيهات الاتحاد الأوروبي و17٪ من لوائح الاتحاد الأوروبي المعمول بها في الاتحاد الأوروبي في عام 2008 كانت سارية في النرويج. في عام 2010. وبشكل عام، يعني هذا أن حوالي 28% من تشريعات الاتحاد الأوروبي السارية من هذين النوعين في عام 2008 كانت سارية في النرويج في عام 2010. وبينما يتعين على البرلمان النرويجي الموافقة على جميع التشريعات الجديدة التي تحمل ""التزامات جديدة مهمة""، لقد تم دعم هذا على نطاق واسع ولا جدال فيه عادة؛ ففي الفترة بين عامي 1992 و2011، تمت الموافقة على 92% من قوانين الاتحاد الأوروبي بالإجماع، وتمت الموافقة على أغلبية البقية بأغلبية واسعة.",1,نعم,1,1
852,هل يمكن لفتاة الكشافة أن تكون كشافة نسر؟,غالبًا ما تتم مقارنة الجائزة الذهبية بجائزة Eagle Scout في الكشافة الأمريكية.,0,لا.,0,1
1778,هل تأهلت الهند لكأس العالم لكرة القدم 2018,بحلول مارس 2015، بعد عدم لعب أي مباريات، وصلت الهند إلى أدنى مركز لها في تصنيف الفيفا وهو 173. قبل شهرين، تمت إعادة تعيين ستيفن قسطنطين كمدرب رئيسي بعد أن قاد الهند لأول مرة قبل أكثر من عقد من الزمن. كانت المهمة الرئيسية الأولى لقسطنطين كمدرب للهند هي تصفيات كأس العالم 2018 FIFA. بعد اجتياز الدور الأول من التصفيات، خرجت الهند من الدور الثاني، وخسرت سبع من مبارياتها الثماني، وبالتالي فشلت مرة أخرى في التأهل لكأس العالم.,0,لا.,0,1
2565,هو بكالوريوس التربية على درجة البكالوريوس,بكالوريوس التربية (B.Ed.) هي شهادة الدراسات العليا المهنية التي تعد الطلاب للعمل كمدرسين في المدارس، على الرغم من أنه في بعض البلدان يجب القيام بعمل إضافي حتى يكون الطالب مؤهلاً بالكامل للتدريس.,0,نعم,1,0
2061,هل يمكنك تحريك الملكة مثل الفارس,"خلال القرن الخامس عشر، اتخذت حركة الملكة شكلها الحديث كمزيج من حركة الرخ والحركة الحالية للأسقف. بدءًا من إسبانيا، انتشرت هذه النسخة الجديدة - التي تسمى ""شطرنج الملكة"" (scacchi de la donna)، أو ""شطرنج المرأة المجنونة"" (scacchi alla rabiosa) - في جميع أنحاء أوروبا بسرعة، ويرجع ذلك جزئيًا إلى ظهور المطبعة وشعبية الكتب الجديدة عن الشطرنج. واجهت القواعد الجديدة رد فعل عنيفًا في بعض الأوساط، بدءًا من القلق بشأن شخصية محاربة قوية إلى الإساءة الصريحة ضد المرأة بشكل عام.",0,لا.,0,1
3258,هي شركة نيويورك للتأمين على الحياة شركة عامة,اعتبارًا من عام 2016، كانت شركة نيويورك للتأمين على الحياة ثالث أكبر شركة تأمين على الحياة في البلاد. شركة التأمين المتبادل، نيويورك لايف مملوكة لحاملي وثائق التأمين وليس لديها مساهمين خارجيين. وباعتبارها متبادلة، تقوم شركة New York Life بتوزيع جزء من أرباحها على حاملي وثائق التأمين المؤهلين كأرباح سنوية. اعتبارًا من عام 2016، كانت الشركة تدفع أرباحًا كل عام منذ عام 1854. ومن خلال Seguros Monterrey New York Life، تقدم الشركة التأمين في المكسيك.,0,لا.,0,1
12,هل من السيء غسل شعرك بجل الاستحمام؟,قد يحتوي جل الاستحمام للرجال على عنصر المنثول، الذي يعطي إحساسًا بالبرودة والتحفيز على الجلد، كما أن بعض أنواع جل الاستحمام للرجال مصممة خصيصًا للاستخدام على الشعر والجسم. يحتوي جل الاستحمام على قواعد سطحية أكثر اعتدالًا من الشامبو، ويحتوي بعضها أيضًا على عوامل ترطيب لطيفة في التركيبة. وهذا يعني أن جل الاستحمام يمكن أن يتضاعف أيضًا كبديل فعال ومقبول تمامًا للشامبو، حتى لو لم يتم تصنيفه على أنه غسول للشعر والجسم. يجب أن يعطي غسل الشعر بجل الاستحمام نفس النتيجة تقريبًا مثل استخدام الشامبو المرطب.,1,لا.,0,0
3109,هي زوايا قاعدة مثلث متساوي الساقين متساوية,ويسمى الضلعان المتساويان الساقين، ويسمى الضلع الثالث قاعدة المثلث. يمكن حساب الأبعاد الأخرى للمثلث، مثل الارتفاع والمساحة والمحيط، من خلال معادلات بسيطة من أطوال الأرجل والقاعدة. كل مثلث متساوي الساقين له محور تماثل على طول المنصف العمودي لقاعدته. الزاويتان المقابلتان للساقين متساويتان وحادتان دائمًا، لذا فإن تصنيف المثلث إلى حاد أو قائم أو منفرج يعتمد فقط على الزاوية الواقعة بين قائميه.,1,نعم,1,1
840,هل نهاية الموسم تعني انتهاء العرض؟,خاتمة الموسم (الإنجليزية البريطانية: الأخيرة في الموسم؛ الإنجليزية الأسترالية: نهائي الموسم) هي الحلقة الأخيرة من موسم برنامج تلفزيوني. غالبًا ما تكون هذه هي الحلقة الأخيرة التي سيتم إنتاجها لبضعة أشهر أو أكثر، وعلى هذا النحو، سيحاول جذب المشاهدين لمواصلة المشاهدة عندما يبدأ المسلسل مرة أخرى.,0,لا.,0,1
1011,هل سيكون هناك 800 كلمة في الموسم الرابع؟,في ديسمبر من عام 2017، أعلنت شبكة Seven عن تجديد العرض للموسم الرابع.,1,لا.,0,0
721,هل لديهم بطل الجيتار لأجهزة إكس بوكس ​​​​واحد,غيتار هيرو لايف هي لعبة فيديو موسيقية لعام 2015 تم تطويرها بواسطة FreeStyleGames ونشرتها Activision. إنها العنوان الأول في سلسلة Guitar Hero منذ توقفها بعد عام 2011، وأول لعبة في السلسلة متاحة لوحدات تحكم ألعاب الفيديو من الجيل الثامن (PlayStation 4 وWii U وXbox One). تم إصدار اللعبة في جميع أنحاء العالم في 20 أكتوبر 2015 لهذه الأنظمة بالإضافة إلى أجهزة PlayStation 3 وXbox 360 وiOS بما في ذلك Apple TV.,1,نعم,1,1
1977,هي الكبة نفس ياماكا,كيبا (/ kɪˈpɑː / kih-PAH؛ مكتوبة أيضًا بـ kippa، kipah؛ العبرية: कباشره، جمعها: कباشره، ‏، ‏، ‏، ‏، اليديشية: क а пл koppel أو ‏، ‏، yarmulke (/ ˈjɑːrməlkə / ، النطق /ˈjɑː-/) هو قبعة بدون حواف، مصنوعة عادة من القماش، يرتديها اليهود للوفاء بالمتطلبات العرفية التي تفرضها السلطات الهالاخية الأرثوذكسية بتغطية الرأس. عادة ما يرتديه الرجال في المجتمعات الأرثوذكسية في جميع الأوقات. تحتفظ معظم المعابد اليهودية وخدمات الجنازة اليهودية بإمدادات جاهزة من الكيبوت.,1,نعم,1,1
262,هو الجيش تحت وزارة الدفاع,"هذه قائمة بالوكالات التابعة لوزارة الدفاع الأمريكية (DoD) والتي كانت تُعرف سابقًا وقريبًا باسم المؤسسة العسكرية الوطنية. مسؤولياتها الرئيسية هي السيطرة على القوات المسلحة للولايات المتحدة. تأسست الوزارة في عام 1947 وهي مقسمة حاليًا إلى ثلاث أقسام رئيسية - إدارة الجيش والبحرية والقوات الجوية - ولديها طاقم عسكري يبلغ 1,418,542 (553,044 من الجيش الأمريكي؛ 329,304 من البحرية الأمريكية؛ 202,786 من مشاة البحرية الأمريكية؛ 333,408 القوات الجوية الأمريكية). ويرأس وزارة الدفاع وزير الدفاع. وزير الدفاع الحالي هو جيمس ماتيس.",1,نعم.,1,1
2195,هل السلاحف المنزلقة الحمراء تضع بيضها في الماء؟,بعد التزاوج، تقضي الأنثى وقتًا إضافيًا في التشمس لإبقاء بيضها دافئًا. قد يكون لديها أيضًا تغيير في النظام الغذائي، أو تناول أطعمة معينة فقط، أو عدم تناول الطعام بقدر ما تفعل عادة. يمكن للأنثى أن تضع ما بين بيضتين إلى 30 بيضة حسب حجم الجسم وعوامل أخرى. يمكن لأنثى واحدة أن تضع ما يصل إلى خمس قوابض في نفس العام، وعادة ما تكون المسافة بين القوابض 12 إلى 36 يومًا. يمكن أن تكون الفترة بين التزاوج ووضع البيض أيامًا أو أسابيع. يحدث تخصيب البويضة الفعلي أثناء وضع البيض. وتسمح هذه العملية أيضًا بوضع البويضات المخصبة في الموسم التالي، حيث يمكن أن تظل الحيوانات المنوية قابلة للحياة ومتوفرة في جسم الأنثى في حالة عدم التزاوج. خلال الأسابيع الأخيرة من الحمل، تقضي الأنثى وقتًا أقل في الماء وتنبعث منها روائح وخدوش في الأرض، مما يدل على أنها تبحث عن مكان مناسب لوضع بيضها. تحفر الأنثى حفرة باستخدام رجليها الخلفيتين وتضع بيضها فيها.,0,لا.,0,1
2654,هل تأشيرة دلتا هي نفس الخصم من التأشيرة,"كانت بطاقة Visa Debit تُعرف سابقًا باسم ""Visa Delta"" في المملكة المتحدة فقط. بدأ التخلص التدريجي من اسم دلتا لصالح العلامة التجارية Visa Debit اعتبارًا من سبتمبر 1998.",1,لا.,0,0
2796,هل حدث تسونامي في جزر المالديف من قبل؟,في جزر المالديف، قُتل 82 شخصًا وأُبلغ عن فقدان 24 آخرين ويفترض أنهم لقوا حتفهم بعد أن ضربها تسونامي ناجم عن زلزال المحيط الهندي عام 2004 في 26 ديسمبر 2004. وقد غمرت المياه ثلثي العاصمة ماليه خلال الساعات الأولى من الزلزال. يوم. وتأثرت الجزر المرجانية النائية منخفضة المستوى بشدة، وغمرت المياه بعض الجزر المنخفضة، بما في ذلك بعض المنتجعات الكبرى، في ذروة التسونامي.,1,نعم.,1,1
