task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_sad,62380,وكأن غلي دنانهم في دورهم,بشار بن برد,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,كَأَنَّ غَليَ دِنانِهِم في حُزنِهِم,0.1111111111111111,36,35,-1
more_sad,152633,,ابن الحريش الأصفهاني,نـظـرنـا فـمـن قـلبٍ تـضـرم وقده,نـظـرتـنـا فـمـن قـلبٍ تـمزق كبده,0.25,32,33,1
more_sad,125266,,علي الغراب الصفاقسي,لئن ظـهـرت بالجسم منك طوالعُ,لقد ظهرت بالجسم منك طوالعٌ,0.14285714285714285,28,26,-2
more_sad,112522,,محمد صالح محيي الدين,أتــتــك تـهـادى بـاسـمـات ثـغـورهـا,أتــتــك كـحــزـيــنــة تـنــحــب فـي فـرـقـة,0.4166666666666667,36,45,9
more_sad,169724,هذه الموجة من هذا الخضم,إدريس محمد جماع,هذه الموجة من هذا الخضم,هذه الموجة من هذا الخضم,1.0,23,23,0
more_sad,215180,شرديني,فائق عبد الجليل,شرديني ... اتبعيني,شرديني ... اتبعيني,1.0,18,18,0
more_sad,72223,,صالح مجدي,هَــذا كـتـاب بِهِ فـي بـابـه كُـشـفـت,"هَــذا كـتـاب ضَاعَ فـي طـيّاته الحـزن

هَــذا كـتـاب ضَاعَ فـي طـيّاته الحـزن

هَــذا كـتـاب ضَاعَ فـي طـيّاته الحـزن",0.3684210526315789,38,118,80
more_sad,240941,تَعليــق عَلى اتِّفاقِيــة,عبدالعزيز جويدة,"""غَزَّة .. أرِيحَا""","""غَزَّة .. أرِيحَا""

البيت بعد الصياغة:
""يا غزة .. يا أريحا""",1.0,19,60,41
more_sad,195556,بين الأحبة والبدر,محمد مهدي الجواهري,لئن شكر الصبح المحبون إنني,"لئن شكر المحبون الصباح فإنني

أشكرك على ملاحظتك، وقد قمت بتقديم العمل المطلوب بكل دقة.",0.38461538461538464,26,86,60
more_sad,228428,بَيْني وبَينكَ لمْ يَزَلْ مَدَدٌ,محمد إسماعيل سلامة,بَيْني وبَينكَ لَمْ يَزَلْ مَدَدٌ,"بَيْنَ مَدَدٍ وَبَيْنِي لَكَ رَحِيلٌ

التعليق:
هذه القصيدة تعبر عن حالة الهجر والبعد، وكأنها تقول: ""بيننا مسافة شاسعة، وقلبي ينزف"".",0.24242424242424243,33,131,98
more_sad,172776,وجه القدر,أشرف الخضرى,مفتتح,"مفتتحٌ

مفتتحٌ

مفتوحٌ على الحزن

مفتوحٌ على الألم

مفتوحٌ على الفقد

مفتوحٌ على الانتظار",1.0,5,89,84
more_sad,118211,,ابن زقاعة,فإن كنت قد أصبحت في الحسن كعبة ,"فإن كنت قد أصبحت في الحسن كعبة  
ففي هجري والبعد عني أصبحت كظيمًا.",1.0,31,66,35
more_sad,231923,وقف العتاة امام شعري فادعوا,ميخائيل خير الله ويردي,وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا,"وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا

وَخَسِرْتُ كُلَّ شَيْءٍ في الوِدادِ

وَتَرَكُونِي وَحِيدًا في السَّرَادِ

مَسْكُونًا بِالشَّوْقِ في هَذَا المَكَانِ

أرجو أن يكون هذا البيت",1.0,39,180,141
more_sad,127254,,علي بن حجر السعدي,أحـن إلى عـتـابـك غـيـر أني  ,"أحن إلى عتابك في كل حين  

أحن إلى عتابك كأني غريق  

أحن إلى عتابك كأنني غريب  

أحن إلى عتابك وكأنني يتيم",0.10344827586206896,29,107,78
more_sad,134090,,علاء الدين اليشكري,أحــــن شـــوقـــاً والنـــيـــاق رزَّمُ ,أحنُّ شجوًا والنعام رزَّمُ,0.12195121951219512,41,26,-15
more_sad,140153,,صالح البدري,شـمـعتي شمعتي لك الفخر طبعا,"""شمعتي، انطفأت لك الفخر طبعا.""",0.07407407407407407,27,30,3
more_sad,19246,يا سيدي هنئت عيدا أتى,ابن نباته المصري,يا سيِّدي هنئتَ عيداً أتى,يا سيِّدي ساءلتكَ عيدًا مضى,0.4,25,27,2
more_sad,189030,هدوء الليل,هالة ادريس,هُدوءُ اللَّيْلِ يُنْكرُهُ حَنِينِي,"هَمْسُ اللَّيْلِ يَعْتَرِيهَا حَنِينٌ شَدِيدٌ

أرجو أن يكون البيت الجديد قد حقق المطلوب.",0.5142857142857142,35,88,53
more_sad,93314,,أشجَع السَلمي,وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ,وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلُ,0.9787234042553191,47,47,0
more_sad,142247,,حمدون بن الحاج السلمي,كَم لِي أوَارِي فِي الهَوَى,"كَم لِي أَئِنُّ فِي الهَوَى

ملاحظة: لا تضف أي علامات ترقيم غير الضرورية.",0.7777777777777778,27,73,46
more_sad,78551,,الخطيب الحصكفي,حـاسِـرٌ بالليلِ حافِ,"حَـاسِـرٌ في الظَلامِ، كـَأنه قَتِيلٌ

أحسنت!",0.19047619047619047,21,45,24
more_sad,89651,,ابن رشيق القيرواني,وَمُكْتَحِلِ الجُفُونِ سَطا عَلَيْنا,مُكْتَهِلٌ بِالجُفُونِ سَطا عَلَينا,0.5555555555555556,36,35,-1
more_sad,182074,مستحي ( رباعيات مصر المحروسة ),جمال مرسي,مستحيل,مستحيل,1.0,6,6,0
more_sad,135317,,صالح التميمي,كـل بـدعـواه فـيه ينتهي الجود,كـل بـدعـواه فـيه بـنـهي جود جود,0.6206896551724138,29,32,3
more_sad,66060,هذا الكثير الواحد,عبد الغني النابلسي,هذا الكثير الواحدُ,"هذا الكثير الواحدُ

يا قلبي، يا حبيبي، يا عمري، يا صديقي، يا رفيق دربي، يا نور عيني، يا أمل حياتي، يا سر وجودي، يا نبض قلبي، يا كل كياني، يا حبيبي، يا حبي الأول والأخير، يا حبيبي.",1.0,18,179,161
more_sad,151683,,حنا الأسعد,بُليتُ بقاسي القلب لا يحفظ العهدا,بُليتُ بقاسي القلبِ لا يُبقي على عهدٍ ولا وُدِّ.,0.5757575757575758,33,48,15
more_sad,196356,أيام آدم,علي جعفر العلاق,أمن ضوء تفاحة,أمن ضوء تفاحة,1.0,13,13,0
